row_id,file_name,speaker,line_no,utterance_index_raw,prediction_status,labels_or_clean,n_labels,input,model_prediction,uncertainty_mean_token_logprob,uncertainty_min_token_logprob,uncertainty_mean_token_margin,uncertainty_min_token_margin,review_decision,notes,uncertainty_review_flag,uncertainty_review_rule
11,1060_3G1.cha,1060,39,10,TAGGED,[* m:03s:a],1,and my father try to assist me to stop eating this food .,and my father try [:: tries] [* m:03s:a] to assist me to stop eating this food .,-16.28941300180223,-29.078125,5.791666666666667,0.0625,,,MANUAL_REVIEW,TAGGED_MIN_MARGIN_LT_1.4375
12,1060_3G1.cha,1060,42,11,TAGGED,[* m:0s:a],1,many restaurant they are available to [/] to [/] to make any kind of hamburgers .,many restaurant [:: restaurants] [* m:0s:a] they are available to [/] to [/] to make any kind of hamburgers .,-14.030705147143454,-27.78143882751465,5.963888888888889,0.0,,,MANUAL_REVIEW,TAGGED_MIN_MARGIN_LT_1.4375
13,1060_3G1.cha,1060,45,12,CLEAN,CLEAN,0,so I'm trying to [/] to [/] to stop eating this &~fas fast food so &~e .,so I'm trying to [/] to [/] to stop eating this &~fas fast food so &~e .,-0.026056212184206135,-0.46806806325912476,6.846354166666667,0.625,,,AUTO_ACCEPT,NON_TAGGED_MIN_MARGIN_GTE_0.125
14,1060_3G2.cha,1060,9,0,CLEAN,CLEAN,0,&~a the topic is transportation .,&~a the topic is transportation .,-16.60883116722107,-29.906251907348633,6.75,1.4375,,,AUTO_ACCEPT,NON_TAGGED_MIN_MARGIN_GTE_0.125
15,1060_3G2.cha,1060,12,1,CLEAN,CLEAN,0,in this world a lot of countries have a different economies .,in this world a lot of countries have a different economies .,-16.599772731463116,-33.09375,6.109375,0.5,,,AUTO_ACCEPT,NON_TAGGED_MIN_MARGIN_GTE_0.125
16,1060_3G2.cha,1060,15,2,CLEAN,CLEAN,0,so today I want to talk about the &~tra transportation between my country and Pittsburgh .,so today I want to talk about the &~tra transportation between my country and Pittsburgh .,-20.466307481129963,-30.578125,8.268229166666666,0.4375,,,AUTO_ACCEPT,NON_TAGGED_MIN_MARGIN_GTE_0.125
17,1060_3G2.cha,1060,18,3,CLEAN,CLEAN,0,Pittsburgh had a good way to pick up people by buses .,Pittsburgh had a good way to pick up people by buses .,-21.268597412109376,-29.703161239624023,8.034375,3.0,,,AUTO_ACCEPT,NON_TAGGED_MIN_MARGIN_GTE_0.125
18,1060_3G2.cha,1060,21,4,TAGGED,[* m:base:s],1,so there is a lot of available buses in a specific time .,so there is a lot of [:: lots of] [* m:base:s] available buses in a specific time .,-18.51639288122004,-26.46599769592285,6.5227272727272725,0.0,,,MANUAL_REVIEW,TAGGED_MIN_MARGIN_LT_1.4375
19,1060_3G2.cha,1060,24,5,CLEAN,CLEAN,0,it's [///] an:d [/] and they are capable to pick up people from anywhere .,it's [///] an:d [/] and they are capable to pick up people from anywhere .,-0.002929459988081362,-0.024254733696579933,7.84375,4.375,,,AUTO_ACCEPT,NON_TAGGED_MIN_MARGIN_GTE_0.125
20,1060_3G2.cha,1060,27,6,CLEAN,CLEAN,0,so in my country we don't have a lot of buses .,so in my country we don't have a lot of buses .,-20.42147045135498,-29.17201805114746,8.6,0.1875,,,AUTO_ACCEPT,NON_TAGGED_MIN_MARGIN_GTE_0.125
21,1060_3G2.cha,1060,30,7,TAGGED,[* m:03s:a],1,because &~m <it's maybe> [//] <we have> [//] <no plans> [//] to: [/] <to make> [//] &-uh &~a in my country we don't have a good plan to [/] to [/] to help a company that consist buses .,because &~m <it's maybe> [//] <we have> [//] <no plans> [//] to: [/] <to make> [//] &-uh &~a in my country we don't have a good plan to [/] to [/] to help a company that consist [:: consists] [* m:03s:a] buses .,-0.006713418724926409,-0.14625295996665955,7.963392857142857,2.3125,,,AUTO_ACCEPT,TAGGED_MIN_MARGIN_GTE_1.4375
22,1060_3G2.cha,1060,33,8,CLEAN,CLEAN,0,so [/] so my country should create or process a good plan <to had> [//] to have &-uh a lot of buses to pick up people and [/] and [/] and flourish in this &~na .,so [/] so my country should create or process a good plan <to had> [//] to have &-uh a lot of buses to pick up people and [/] and [/] and flourish in this &~na .,-16.572484872665854,-26.81178855895996,6.915178571428571,0.3125,,,AUTO_ACCEPT,NON_TAGGED_MIN_MARGIN_GTE_0.125
23,1060_3G3.cha,1060,9,0,CLEAN,CLEAN,0,okay the topic is someone I admire .,okay the topic is someone I admire .,-16.644803561861554,-29.125001907348633,6.366071428571429,1.1875,,,AUTO_ACCEPT,NON_TAGGED_MIN_MARGIN_GTE_0.125
24,1060_3G3.cha,1060,12,1,CLEAN,CLEAN,0,okay I'll talk today about my father .,okay I'll talk today about my father .,-16.64080180062188,-28.632993698120117,6.620535714285714,1.6875,,,AUTO_ACCEPT,NON_TAGGED_MIN_MARGIN_GTE_0.125
25,1060_3G3.cha,1060,15,2,TAGGED,[* m:base:ed],1,<my father is a> [//] &~mam my father born &-uh in Jeddah Saudi Arabia .,<my father is a> [//] &~mam my father born [:: was] [* m:base:ed] &-uh in Jeddah Saudi Arabia .,-0.036912617061358885,-0.3487408459186554,6.893145161290323,0.875,,,MANUAL_REVIEW,TAGGED_MIN_MARGIN_LT_1.4375
26,1060_3G3.cha,1060,18,3,TAGGED,[* s:r:prep],1,an:d &-uh I admire with my father because he's &-uh intelligent man and polite man .,an:d &-uh I admire with [:: to] [* s:r:prep] my father because he's &-uh intelligent man and polite man .,-17.696470691311745,-23.73366355895996,6.957661290322581,0.125,,,MANUAL_REVIEW,TAGGED_MIN_MARGIN_LT_1.4375
27,1060_3G3.cha,1060,21,4,TAGGED,[* m:03s:a],1,and he like his family and &-uh his children .,and he like [:: likes] [* m:03s:a] his family and &-uh his children .,-16.207130539801813,-27.62508773803711,6.955645161290323,0.0625,,,MANUAL_REVIEW,TAGGED_MIN_MARGIN_LT_1.4375
28,1060_3G3.cha,1060,24,5,TAGGED,[* m:03s:a],1,and he like his job .,and he like [:: likes] [* m:03s:a] his job .,-15.632582287634573,-26.466819763183594,6.412298387096774,2.53125,,,AUTO_ACCEPT,TAGGED_MIN_MARGIN_GTE_1.4375
29,1060_3G3.cha,1060,27,6,CLEAN,CLEAN,0,&-uh he [//] actually he's the founder of his company .,&-uh he [//] actually he's the founder of his company .,-15.326511891682943,-28.282306671142578,7.4375,0.5625,,,AUTO_ACCEPT,NON_TAGGED_MIN_MARGIN_GTE_0.125
30,1060_3G3.cha,1060,30,7,TAGGED,[* m:03s:a],1,so: &-uh my father treat me in a good way .,so: &-uh my father treat [:: treats] [* m:03s:a] me in a good way .,-15.23998154176248,-31.78125,6.236486486486487,1.0,,,MANUAL_REVIEW,TAGGED_MIN_MARGIN_LT_1.4375
31,1060_3G3.cha,1060,33,8,TAGGED,[* m:03s:a],1,and he wish for me everything good .,and he wish [:: wishes] [* m:03s:a] for me everything good .,-15.66890602498441,-27.21875,5.83277027027027,1.25,,,MANUAL_REVIEW,TAGGED_MIN_MARGIN_LT_1.4375
32,1060_3G3.cha,1060,36,9,TAGGED,[* m:irr:ed],1,and &-uh &-uh I wish in the future that s:omeday that I can &-uh became ah same like my father .,and &-uh &-uh I wish in the future that s:omeday that I can &-uh became [:: become] [* m:irr:ed] ah same like my father .,-0.009762222464040541,-0.06404492259025574,7.903716216216216,3.0,,,AUTO_ACCEPT,TAGGED_MIN_MARGIN_GTE_1.4375
33,1060_3G3.cha,1060,39,10,TAGGED,[* m:03s:a],1,&-uh my father &-uh &-uh live &-uh in the Riyadh &~o with our family [% 3 syllables] .,&-uh my father &-uh &-uh live [:: lives] [* m:03s:a] in the Riyadh &~o with our family [% 3 syllables] .,-0.01793390123234798,-0.4744889736175537,7.805147058823529,0.5,,,MANUAL_REVIEW,TAGGED_MIN_MARGIN_LT_1.4375
34,1060_3G3.cha,1060,42,11,CLEAN,CLEAN,0,an:d [/] &-uh &-uh an(d) my father gave me &-uh everything that I want .,an:d [/] &-uh &-uh an(d) my father gave me &-uh everything that I want .,-17.64363251904336,-26.81250762939453,7.947916666666667,0.125,,,AUTO_ACCEPT,NON_TAGGED_MIN_MARGIN_GTE_0.125
35,1060_3G3.cha,1060,45,12,CLEAN,CLEAN,0,because that reason &-uh I like him .,because that reason &-uh I like him .,-16.293805742263793,-27.140682220458984,6.914583333333334,1.9375,,,AUTO_ACCEPT,NON_TAGGED_MIN_MARGIN_GTE_0.125
36,1060_3G3.cha,1060,48,13,TAGGED,[* m:03s:a],1,an:d ah he always assist me and support me .,an:d ah he always assist [:: assists] [* m:03s:a] me and support [:: supports] [* m:03s:a] me .,-17.71184790475028,-25.136812210083008,6.8723214285714285,1.25,,,MANUAL_REVIEW,TAGGED_MIN_MARGIN_LT_1.4375
37,1060_3G3.cha,1060,51,14,CLEAN,CLEAN,0,and he always &-uh &~cont &~cont contribute &-uh with &~po poor people .,and he always &-uh &~cont &~cont contribute &-uh with &~po poor people .,-16.84506908560457,-30.093751907348633,7.113911290322581,0.3125,,,AUTO_ACCEPT,NON_TAGGED_MIN_MARGIN_GTE_0.125
38,1060_3G3.cha,1060,54,15,TAGGED,[* s:r:der],1,and my father he's a &~significan significant person in my ah life .,and my father he's a &~significan [: significant] [* s:r:der] person in my ah life .,-16.836127214961582,-28.18824005126953,6.553819444444445,0.5625,,,MANUAL_REVIEW,TAGGED_MIN_MARGIN_LT_1.4375
39,1060_3G3.cha,1060,57,16,TAGGED,[* m:03s:a],1,an:d &-uh he [/] &-uh he teach me &-uh everything in appropriate way .,an:d &-uh he [/] &-uh he teach [:: teaches] [* m:03s:a] me &-uh everything in appropriate way .,-16.161235238295422,-24.5627384185791,7.515625,1.625,,,AUTO_ACCEPT,TAGGED_MIN_MARGIN_GTE_1.4375
40,1060_3G3.cha,1060,60,17,TAGGED,[* m:irr:ed],1,and &-uh &-uh in the future I want be same my father because he's everything in my life and without my father I'm nothing .,and &-uh &-uh in the future I want be [:: be] [* m:irr:ed] same my father because he's everything in my life and without my father I'm nothing .,-0.06743595772434817,-1.1038765907287598,7.574013157894737,0.4375,,,MANUAL_REVIEW,TAGGED_MIN_MARGIN_LT_1.4375
41,1060_3G3.cha,1060,63,18,CLEAN,CLEAN,0,so &-uh I wish him all the best .,so &-uh I wish him all the best .,-17.470827118042976,-29.531272888183594,7.046370967741935,0.9375,,,AUTO_ACCEPT,NON_TAGGED_MIN_MARGIN_GTE_0.125
42,1060_3G3.cha,1060,66,19,CLEAN,CLEAN,0,an:d I wish him longer &-uh age and everything so &-uh thank you .,an:d I wish him longer &-uh age and everything so &-uh thank you .,-18.335091344771847,-29.907245635986328,7.584677419354839,1.25,,,AUTO_ACCEPT,NON_TAGGED_MIN_MARGIN_GTE_0.125
43,1060_4P1.cha,1060,9,0,CLEAN,CLEAN,0,the topic is &-um talking about &-uh a problem in the world that concerned me .,the topic is &-um talking about &-uh a problem in the world that concerned me .,-17.815753521457797,-28.75002670288086,7.711693548387097,0.3125,,,AUTO_ACCEPT,NON_TAGGED_MIN_MARGIN_GTE_0.125
44,1060_4P1.cha,1060,12,1,CLEAN,CLEAN,0,actually [/] &~theralot ah <there is a_lot> [/] actually there is a lot of problem that concerns me and concerns everybody .,actually [/] &~theralot ah <there is a_lot> [/] actually there is a lot of problem that concerns me and concerns everybody .,-0.017058145012161994,-0.2093682736158371,6.886088709677419,1.5,,,AUTO_ACCEPT,NON_TAGGED_MIN_MARGIN_GTE_0.125
45,1060_4P1.cha,1060,15,2,TAGGED,[* s:r:prep],1,but I [//] &~wan today I want talk on one specific problem: which is in this world there is a lot of cars .,but I [//] &~wan today I want talk on [:: about] [* s:r:prep] one specific problem: which is in this world there is a lot of cars .,-16.97189199924469,-23.67584991455078,6.552083333333333,1.625,,,AUTO_ACCEPT,TAGGED_MIN_MARGIN_GTE_1.4375
46,1060_4P1.cha,1060,18,3,TAGGED,[* m:+3s:a],1,cars causes pollution in the air .,cars causes [:: cause] [* m:+3s:a] pollution in the air .,-16.654985732502407,-28.42194938659668,5.713541666666667,0.9375,,,MANUAL_REVIEW,TAGGED_MIN_MARGIN_LT_1.4375
47,1060_4P1.cha,1060,21,4,CLEAN,CLEAN,0,ah specifically the exhaust of the car exhaust a_lot_of: chemicals or embalms <in the in the:> [/] in the airs .,ah specifically the exhaust of the car exhaust a_lot_of: chemicals or embalms <in the in the:> [/] in the airs .,-0.03236151147500315,-0.396930992603302,6.9375,0.875,,,AUTO_ACCEPT,NON_TAGGED_MIN_MARGIN_GTE_0.125
48,1060_4P1.cha,1060,24,5,CLEAN,CLEAN,0,so [/] so I'm looking forward that if they can solve this problem .,so [/] so I'm looking forward that if they can solve this problem .,-17.92800895098982,-29.5625,7.286637931034483,1.375,,,AUTO_ACCEPT,NON_TAGGED_MIN_MARGIN_GTE_0.125
49,1060_4P1.cha,1060,27,6,CLEAN,CLEAN,0,they can solve it by [/] by they sell less cars in the world that they put &-uh a specific amount for people that they can buy a car .,they can solve it by [/] by they sell less cars in the world that they put &-uh a specific amount for people that they can buy a car .,-14.805456672395978,-25.927743911743164,6.6571428571428575,0.375,,,AUTO_ACCEPT,NON_TAGGED_MIN_MARGIN_GTE_0.125
50,1060_4P1.cha,1060,30,7,NON_TAGGED_CHANGED,CLEAN,0,for example a lot of Saudis country or any country just one family they has more than six or seven cars .,for example a lot of Saudis country or any country just one family they has more than six or seven cars .,-16.340572471371186,-33.0625,6.024553571428571,0.0625,,,MANUAL_REVIEW,NON_TAGGED_MIN_MARGIN_LT_0.125
51,1060_4P1.cha,1060,33,8,TAGGED,[* m:03s:a],1,<that cause a problem> [//] that causing problem <with the: with the> [/] with the pollution .,<that cause [:: causes] [* m:03s:a] a problem> [//] that causing [:: causes] [* m:03s:a] problem <with the: with the> [/] with the pollution .,-14.079350698635992,-29.921875,5.039612676056338,0.03125,,,MANUAL_REVIEW,TAGGED_MIN_MARGIN_LT_1.4375
52,1060_4P1.cha,1060,36,9,CLEAN,CLEAN,0,so [/] so &-uh <obviously that will> [//] will [//] &-uh &~wil <it will> [//] &-uh it [//] &~il &-uh obviously &-uh it will have &-uh result by [//] &-uh it's [//] ah by &-uh pollution .,so [/] so &-uh <obviously that will> [//] will [//] &-uh &~wil <it will> [//] &-uh it [//] &~il &-uh obviously &-uh it will have &-uh result by [//] &-uh it's [//] ah by &-uh pollution .,-0.008083445663149696,-0.11517813056707382,7.840625,2.25,,,AUTO_ACCEPT,NON_TAGGED_MIN_MARGIN_GTE_0.125
53,1060_4P1.cha,1060,39,10,TAGGED,[* s:r:prep],1,and &-uh <there is> [/] &-uh there's a lot of aspects that can &-uh affect &-uh the people or affect the air .,and &-uh <there is> [/] &-uh there's a lot of [:: of] [* s:r:prep] aspects that can &-uh affect &-uh the people or affect the air .,-0.04687212781663047,-0.920316219329834,7.084821428571429,0.5,,,MANUAL_REVIEW,TAGGED_MIN_MARGIN_LT_1.4375
54,1060_4P1.cha,1060,42,11,TAGGED,[* s:r:prep],1,so I'm lookin(g) forward for solve this problem .,so I'm lookin(g) forward for solve [:: to] [* s:r:prep] this problem .,-16.258175918034144,-27.172853469848633,6.258928571428571,0.75,,,MANUAL_REVIEW,TAGGED_MIN_MARGIN_LT_1.4375
55,1060_4P1.cha,1060,45,12,CLEAN,CLEAN,0,there is &~aks &~a approximate [//] each house in any country approximately &~f ten or fifteen cars <for the> [//] for just one family .,there is &~aks &~a approximate [//] each house in any country approximately &~f ten or fifteen cars <for the> [//] for just one family .,-0.0297548188246375,-0.9250730872154236,7.417857142857143,0.25,,,AUTO_ACCEPT,NON_TAGGED_MIN_MARGIN_GTE_0.125
56,1060_4P1.cha,1060,48,13,CLEAN,CLEAN,0,so [/] so &~tha they [/] they must decide a goal to achieve it to solve this problem .,so [/] so &~tha they [/] they must decide a goal to achieve it to solve this problem .,-17.303392696380616,-29.468761444091797,6.367857142857143,0.25,,,AUTO_ACCEPT,NON_TAGGED_MIN_MARGIN_GTE_0.125
57,1060_4P1.cha,1060,51,14,CLEAN,CLEAN,0,they hafta solve this problem as soon as they can .,they hafta solve this problem as soon as they can .,-17.45992071732231,-28.312503814697266,7.789402173913044,0.1875,,,AUTO_ACCEPT,NON_TAGGED_MIN_MARGIN_GTE_0.125
58,1060_4P2.cha,1060,9,0,CLEAN,CLEAN,0,the topic is &-uh talk about something I regret that I have done .,the topic is &-uh talk about something I regret that I have done .,-16.48337765880253,-29.25002098083496,6.475543478260869,1.0,,,AUTO_ACCEPT,NON_TAGGED_MIN_MARGIN_GTE_0.125
59,1060_4P2.cha,1060,12,1,CLEAN,CLEAN,0,&-uh first ah yesterday the teacher was &~dispu distributing the [/] the worksheet <or or the> [/] or the exam paper [/] &~eh paper test and actually &-uh I didn't study .,&-uh first ah yesterday the teacher was &~dispu distributing the [/] the worksheet <or or the> [/] or the exam paper [/] &~eh paper test and actually &-uh I didn't study .,-0.017232015203143932,-0.5213946104049683,7.790081521739131,2.375,,,AUTO_ACCEPT,NON_TAGGED_MIN_MARGIN_GTE_0.125
60,1060_4P2.cha,1060,15,2,NON_TAGGED_CHANGED,CLEAN,0,and [/] &-uh and while I'm facing <the the the> [/] the exam I [/] I didn't know how to answer .,and [/] &-uh and while I'm facing <the the> [/] the exam I [/] I didn't know how to answer .,-17.264850097232394,-28.062713623046875,7.2131944444444445,1.3125,,,AUTO_ACCEPT,NON_TAGGED_MIN_MARGIN_GTE_0.125
61,1060_4P2.cha,1060,18,3,CLEAN,CLEAN,0,so [/] so the result was &-uh that I failed in the exam .,so [/] so the result was &-uh that I failed in the exam .,-15.744671201705932,-23.925783157348633,7.34140625,0.3125,,,AUTO_ACCEPT,NON_TAGGED_MIN_MARGIN_GTE_0.125
62,1060_4P2.cha,1060,21,4,CLEAN,CLEAN,0,&-uh so if: [/] if I studied good I: [/] I shouldn't fail <in the in> [/] &~th in the exam .,&-uh so if: [/] if I studied good I: [/] I shouldn't fail <in the in> [/] &~th in the exam .,-15.646731128255487,-25.25000762939453,7.56015625,0.5625,,,AUTO_ACCEPT,NON_TAGGED_MIN_MARGIN_GTE_0.125
63,1060_4P2.cha,1060,24,5,TAGGED,[* s:r:prep],1,<so I should> [//] &-uh have [//] &-um what I should have done differently I should have ah to study hard &-uh and worked hard to pass this exam .,<so I should> [//] &-uh have [//] &-um what I should have done differently I should have ah to [:: for] [* s:r:prep] study hard &-uh and worked hard to pass this exam .,-0.05320686875378708,-0.6212164163589478,6.430851063829787,0.75,,,MANUAL_REVIEW,TAGGED_MIN_MARGIN_LT_1.4375
64,1060_4P2.cha,1060,27,6,CLEAN,CLEAN,0,and [/] &-um and &-uh <if I study> [//] if I studied good and if I work hard I: would not fail in my exam .,and [/] &-um and &-uh <if I study> [//] if I studied good and if I work hard I: would not fail in my exam .,-15.728671445455257,-28.171876907348633,7.73125,0.125,,,AUTO_ACCEPT,NON_TAGGED_MIN_MARGIN_GTE_0.125
65,1060_4P2.cha,1060,30,7,CLEAN,CLEAN,0,&-uh I will &-uh get &-uh full mark .,&-uh I will &-uh get &-uh full mark .,-14.992580249905586,-25.782062530517578,6.7734375,0.125,,,AUTO_ACCEPT,NON_TAGGED_MIN_MARGIN_GTE_0.125
66,1060_4P2.cha,1060,33,8,CLEAN,CLEAN,0,and [/] &-um I [/] will [/] ah and I will pass the exam thank you .,and [/] &-um I [/] will [/] ah and I will pass the exam thank you .,-17.788496047258377,-28.12282943725586,7.533203125,0.875,,,AUTO_ACCEPT,NON_TAGGED_MIN_MARGIN_GTE_0.125
67,1060_4P2.cha,1060,36,9,CLEAN,CLEAN,0,so &-uh <when I> [///] there is some process I have to: follow for studying to pass any exam to get a full mark .,so &-uh <when I> [///] there is some process I have to: follow for studying to pass any exam to get a full mark .,-0.004188111190103427,-0.029217638075351715,7.3125,3.8125,,,AUTO_ACCEPT,NON_TAGGED_MIN_MARGIN_GTE_0.125
68,1060_5S1.cha,1060,9,0,CLEAN,CLEAN,0,&-um I'm goin(g) talk about &-uh violence in the tv &-uh show .,&-um I'm goin(g) talk about &-uh violence in the tv &-uh show .,-18.167930349707603,-29.875280380249023,8.0390625,0.875,,,AUTO_ACCEPT,NON_TAGGED_MIN_MARGIN_GTE_0.125
69,1060_5S1.cha,1060,12,1,CLEAN,CLEAN,0,&-uh &~m my opinion &-uh I [///] &~th ah violence on tv shouldn't &-uh be banned .,&-uh &~m my opinion &-uh I [///] &~th ah violence on tv shouldn't &-uh be banned .,-15.983723555598289,-26.796890258789062,6.919005102040816,0.5625,,,AUTO_ACCEPT,NON_TAGGED_MIN_MARGIN_GTE_0.125
70,1060_5S1.cha,1060,15,2,CLEAN,CLEAN,0,ah because &-uh these days &-uh tv generate &-uh a_lot of movies &-uh involve &~va &-uh &-uh violence &-uh I [///] &-uh killing &-uh everything .,ah because &-uh these days &-uh tv generate &-uh a_lot of movies &-uh involve &~va &-uh &-uh violence &-uh I [///] &-uh killing &-uh everything .,-0.0162764610203321,-0.289073646068573,7.857142857142857,1.125,,,AUTO_ACCEPT,NON_TAGGED_MIN_MARGIN_GTE_0.125
71,1060_5S1.cha,1060,18,3,CLEAN,CLEAN,0,even [/] even though cartoons they also generate &-uh ah violence .,even [/] even though cartoons they also generate &-uh ah violence .,-16.56371006673696,-28.31250762939453,5.757015306122449,1.125,,,AUTO_ACCEPT,NON_TAGGED_MIN_MARGIN_GTE_0.125
72,1060_5S1.cha,1060,21,4,TAGGED,[* m:irr:ed],1,so &-uh I think &~k our &~ch children get useta it and &-uh also the adults .,so &-uh I think &~k our &~ch children get useta [:: use] [* m:irr:ed] it and &-uh also the adults .,-16.534963874816896,-26.656442642211914,6.134375,0.125,,,MANUAL_REVIEW,TAGGED_MIN_MARGIN_LT_1.4375
73,1060_5S1.cha,1060,24,5,CLEAN,CLEAN,0,so it's [//] it is [//] are not big deal for children or any kind of age .,so it's [//] it is [//] are not big deal for children or any kind of age .,-14.737261199951172,-27.109375,6.08125,1.3125,,,AUTO_ACCEPT,NON_TAGGED_MIN_MARGIN_GTE_0.125
74,1060_5S1.cha,1060,27,6,TAGGED,[* s:r:gc:pro],1,&-um of course watching tv is very &~crutral crucial for [/] for any person whether in it's including a violence or not including any violence .,&-um of course watching tv is very &~crutral crucial for [/] for any person whether in it's [:: its] [* s:r:gc:pro] including a violence or not including any violence .,-15.805045073492485,-26.71907615661621,6.1019736842105265,0.125,,,MANUAL_REVIEW,TAGGED_MIN_MARGIN_LT_1.4375
75,1060_5S1.cha,1060,30,7,TAGGED,[* m:0s:a] ; [* m:vsg:a],2,&-um &-um so tv &-uh used [//] &-uh they sometimes glorify &-uh that there is two kind of cartoons or two kinds of shows that for the adults and ah for the children .,&-um &-um so tv &-uh used [//] &-uh they sometimes glorify &-uh that there is [:: are] [* m:vsg:a] two kind [:: kinds] [* m:0s:a] of cartoons or two kinds of shows that for the adults and ah for the children .,-15.519215968619392,-29.41798973083496,7.125,0.25,,,MANUAL_REVIEW,TAGGED_MIN_MARGIN_LT_1.4375
76,1060_5S1.cha,1060,33,8,CLEAN,CLEAN,0,so also children <in the> [/] <in the> [/] &-uh in the <(be)tween age> [//] between age they [/] they know how to distinguish between these &~k the cartoon and also movies .,so also children <in the> [/] <in the> [/] &-uh in the <(be)tween age> [//] between age they [/] they know how to distinguish between these &~k the cartoon and also movies .,-0.015608954077579255,-0.272167831659317,7.34875,1.25,,,AUTO_ACCEPT,NON_TAGGED_MIN_MARGIN_GTE_0.125
77,1060_5S1.cha,1060,36,9,CLEAN,CLEAN,0,and also the families teach [/] teach them how to know the difference between it .,and also the families teach [/] teach them how to know the difference between it .,-13.93746831258138,-28.031261444091797,4.214583333333334,0.4375,,,AUTO_ACCEPT,NON_TAGGED_MIN_MARGIN_GTE_0.125
