split,row_id,provenance_label,error_count,input,manual_input,output,manual_output,notes
train,992,synthetic,1,Every persons in the crowded room stood up at once .,,Every persons [* m:+s:a] in the crowded room stood up at once .,Every persons [:: person] [* m:+s:a] in the crowded room stood up at once .,
train,1364,synthetic,1,and both happys .,,and both happys [* m:+s:a] .,and both happys [:: happy] [* m:+s:a] .,
train,9387,synthetic,1,They fixed the car engine yesterday .,,They fixed the car [* m:0's] engine yesterday .,They fixed the car [:: car's] [* m:0's] engine yesterday .,
train,9378,synthetic,1,The project deadline is Friday .,,The project [* m:0's] deadline is Friday .,The project [:: project's] [* m:0's] deadline is Friday .,
train,7168,synthetic,1,The refrigerator door won't close .,,The refrigerator [* m:0's] door won't close .,The refrigerator [:: refrigerator's] [* m:0's] door won't close .,
train,9346,synthetic,1,The surgeon hands were very steady .,,The surgeon [* m:0's] hands were very steady .,The surgeon [:: surgeon's] [* m:0's] hands were very steady .,
train,7177,synthetic,1,The morning commute was long .,,The morning [* m:0's] commute was long .,The morning [:: morning's] [* m:0's] commute was long .,
train,9324,synthetic,1,The hospital entrance is around the corner .,,The hospital [* m:0's] entrance is around the corner .,The hospital [:: hospital's] [* m:0's] entrance is around the corner .,
train,7155,synthetic,1,The student grades improved this semester .,,The student [* m:0's] grades improved this semester .,The student [:: student's] [* m:0's] grades improved this semester .,
train,7164,synthetic,1,The clock hands stopped moving .,,The clock [* m:0's] hands stopped moving .,The clock [:: clock's] [* m:0's] hands stopped moving .,
train,9394,synthetic,1,The library books are overdue .,,The library [* m:0's] books are overdue .,The library [:: library's] [* m:0's] books are overdue .,
train,9348,synthetic,1,The family vacation was wonderful .,,The family [* m:0's] vacation was wonderful .,The family [:: family's] [* m:0's] vacation was wonderful .,
train,9401,synthetic,1,The phone battery is dead .,,The phone [* m:0's] battery is dead .,The phone [:: phone's] [* m:0's] battery is dead .,
train,9380,synthetic,1,The restaurant menu has many options .,,The restaurant [* m:0's] menu has many options .,The restaurant [:: restaurant's] [* m:0's] menu has many options .,
train,7173,synthetic,1,November wind is very cold .,,November [* m:0's] wind is very cold .,November [:: November's] [* m:0's] wind is very cold .,
train,9404,synthetic,1,I saw the horse owner at the barn .,,I saw the horse [* m:0's] owner at the barn .,I saw the horse [:: horse's] [* m:0's] owner at the barn .,
train,7804,synthetic,2,&-uh he don't likes it .,,&-uh he don't [* m:03s:a] likes [* m:+3s] it .,&-uh he don't [:: doesn't] [* m:03s:a] likes [:: like] [* m:+3s] it .,
train,7810,synthetic,2,he don't has hat .,,he don't [* m:03s:a] has [* m:+3s] hat .,he don't [:: doesn't] [* m:03s:a] has [:: have] [* m:+3s] hat .,
train,7807,synthetic,2,she don't has ball .,,she don't [* m:03s:a] has [* m:+3s] ball .,she don't [:: doesn't] [* m:03s:a] has [:: have] [* m:+3s] ball .,
train,7812,synthetic,2,&-um she don't has toy .,,&-um she don't [* m:03s:a] has [* m:+3s] toy .,&-um she don't [:: doesn't] [* m:03s:a] has [:: have] [* m:+3s] toy .,
train,7802,synthetic,2,&-um he don't has a cookie .,,&-um he don't [* m:03s:a] has [* m:+3s] a cookie .,&-um he don't [:: doesn't] [* m:03s:a] has [:: have] [* m:+3s] a cookie .,
train,9904,synthetic,1,They play soccer in the park last Sunday .,,They play [* m:0ed] soccer in the park last Sunday .,They play [:: played] [* m:0ed] soccer in the park last Sunday .,
train,466,synthetic,2,he is get xxx more cookie .,,he is get [* m:0ing] xxx more cookie [* m:0s:a] .,he is get [:: getting] [* m:0ing] xxx more cookie [:: cookies] [* m:0s:a] .,
train,1441,synthetic,1,a rabbit and [/] and [/] and somebody else are saw [/] saw [/] saw each other .,,a rabbit and [/] and [/] and somebody else are saw [/] saw [/] saw [* m:0ing] each other .,a rabbit and [/] and [/] and somebody else are saw [/] saw [/] saw [:: seeing] [* m:0ing] [* m:+ed:i] each other .,
train,1400,synthetic,1,is [/] is go [/] go [/] go high .,,is [/] is go [/] go [/] go [* m:0ing] high .,is [/] is go [/] go [/] go [:: going] [* m:0ing] high .,
train,1394,synthetic,1,and the [//] he's go away .,,and the [//] he's go [* m:0ing] away .,and the [//] he's go [:: going] [* m:0ing] away .,
train,1401,synthetic,1,is [/] is [//] balloon is hold it .,,is [/] is [//] balloon is hold [* m:0ing] it .,is [/] is [//] balloon is hold [:: holding] [* m:0ing] it .,
train,1535,synthetic,1,and <they're get it> [/] <get [!] it> [//] I'm get [!] it .,,and <they're get it> [/] <get [!] it> [//] I'm get [* m:0ing] [!] it .,and <they're get it> [/] <get [!] it> [//] I'm get [:: getting] [* m:0ing] [!] it .,
train,10219,synthetic,1,The audience was cheer loudly for the hero of the story .,,The audience was cheer [* m:0ing] loudly for the hero of the story .,The audience was cheer [:: cheering] [* m:0ing] loudly for the hero of the story .,
train,6908,synthetic,1,I have two sister .,,I have two sister [* m:0s:a] .,I have two sister [:: s] [* m:0s:a] .,
train,1264,synthetic,1,and then <they got the> [//] <they got one of the balloon > [//] he got two balloons both of them .,,and then <they got the> [//] <they got one of the balloon [* m:0s:a]> [//] he got two balloons both of them .,and then <they got the> [//] <they got one of the balloon [:: s] [* m:0s:a]> [//] he got two balloons both of them .,
train,8989,synthetic,1,Those xxx are playing football .,,Those xxx [* m:0s:a] are playing football .,Those xxx [:: s] [* m:0s:a] are playing football .,
train,6906,synthetic,1,Those boy are playing football .,,Those boy [* m:0s:a] are playing football .,Those boy [:: s] [* m:0s:a] are playing football .,
train,6896,synthetic,1,Several cat are playing in the yard .,,Several cat [* m:0s:a] are playing in the yard .,Several cat [:: s] [* m:0s:a] are playing in the yard .,
train,8993,synthetic,1,Many student are in the library .,,Many student [* m:0s:a] are in the library .,Many student [:: s] [* m:0s:a] are in the library .,
train,6888,synthetic,1,I have four apple .,,I have four apple [::apples] [* m:0s:a] .,I have four apple [::apples] [:: s] [* m:0s:a] .,
train,6932,synthetic,1,Many student submitted their homework on time .,,Many student [* m:0s:a] submitted their homework on time .,Many student [:: s] [* m:0s:a] submitted their homework on time .,
train,9027,synthetic,1,We gave those xxx their lunch .,,We gave those xxx [* m:0s:a] their lunch .,We gave those xxx [:: s] [* m:0s:a] their lunch .,
train,9022,synthetic,1,I see two dog in the yard .,,I see two dog [* m:0s:a] in the yard .,I see two dog [:: s] [* m:0s:a] in the yard .,
train,9008,synthetic,1,She bought five apple at the market .,,She bought five apple [::apples] [* m:0s:a] at the market .,She bought five apple [::apples] [:: s] [* m:0s:a] at the market .,
train,944,synthetic,1,All of student in the class passed the final exam .,,All of student [* m:0s:a] in the class passed the final exam .,All of student [:: s] [* m:0s:a] in the class passed the final exam .,
train,1789,synthetic,1,and then her gived it back to [/] to thing [//] the guy .,,and then her gived [* m:=ed] it back to [/] to thing [//] the guy .,and then her gived [:: gave] [* m:=ed] it back to [/] to thing [//] the guy .,
train,1759,synthetic,1,&+ha and the giraffe <has a> [//] had a airplane .,,&+ha and the giraffe <has a> [//] had a [* m:allo] airplane .,&+ha and the giraffe <has a> [//] had a [:: an] [* m:allo] airplane .,
train,1801,synthetic,2,"there's <a slide , cow and a elephant> [//] a cow and a elephant and a slide and a pool .",,"there's <a slide , cow and a [* m:allo] elephant> [//] a cow and a [* m:allo] elephant and a slide and a pool .","there's <a slide , cow and a [:: an] [* m:allo] elephant> [//] a cow and a [:: an] [* m:allo] elephant and a slide and a pool .",
train,1512,synthetic,2,a elephant [/] elephant [/] elephant [/] elephant got a [/] a idea .,,a [* m:allo] elephant [/] elephant [/] elephant [/] elephant got a [/] a [* m:allo] idea .,a [:: an] [* m:allo] elephant [/] elephant [/] elephant [/] elephant got a [/] a [:: an] [* m:allo] idea .,
train,1481,synthetic,1,and then the [//] his friend was <driving a> [/] driving [/] driving a airplane .,,and then the [//] his friend was <driving a> [/] driving [/] driving a [* m:allo] airplane .,and then the [//] his friend was <driving a> [/] driving [/] driving a [:: an] [* m:allo] airplane .,
train,1373,synthetic,1,and so get a other one .,,and so get a [* m:allo] other one .,and so get a [:: an] [* m:allo] other one .,
train,1625,synthetic,1,so the mama elephant got [//] use it with a net .,,so the mama [* m:allo] elephant got [//] use it with a net .,so the mama [:: an] [* m:allo] elephant got [//] use it with a net .,
train,1626,synthetic,1,<they found a elephant in his> &+pock [//] &-uh they found a [/] a plane in his pocket .,,<they found a [* m:allo] elephant in his> &+pock [//] &-uh they found a [/] a plane in his pocket .,<they found a [:: an] [* m:allo] elephant in his> &+pock [//] &-uh they found a [/] a plane in his pocket .,
train,1459,synthetic,1,a &+ra [//] and a other rabbit came along .,,a &+ra [//] and a [* m:allo] other rabbit came along .,a &+ra [//] and a [:: an] [* m:allo] other rabbit came along .,
train,1603,synthetic,1,lookit I got a air:plane .,,lookit I got a [* m:allo] air:plane .,lookit I got a [:: an] [* m:allo] air:plane .,
train,549,synthetic,1,he is wanna fix .,,he is [* m:allo] wanna fix .,he is [* m:allo] wanna [:: wants to] [* m:03s:a] fix .,
train,7947,synthetic,1,The baby sleep all afternoon in the crib yesterday .,,The baby sleep [* m:base:ed] all afternoon in the crib yesterday .,The baby sleep [:: slept] [* m:base:ed] all afternoon in the crib yesterday .,
train,8001,synthetic,1,Last night the child sleep for ten hours .,,Last night the child sleep [* m:base:ed] for ten hours .,Last night the child sleep [:: slept] [* m:base:ed] for ten hours .,
train,6804,synthetic,1,Cookie have eat .,,Cookie I have eat [* m:base:en] .,Cookie I have eat [:: eaten] [* m:base:en] .,
train,6829,synthetic,1,The eat apple was on the table .,,The eat [* m:base:en] apple was on the table .,The eat [:: eaten] [* m:base:en] apple was on the table .,
train,6803,synthetic,1,It was break .,,It was break [* m:base:en] .,It was break [:: broken] [* m:base:en] .,
train,6821,synthetic,1,She looked at the fall leaves .,,She looked at the fall [* m:base:en] leaves .,She looked at the fall [:: fallen] [* m:base:en] leaves .,
train,6828,synthetic,1,The shake soda exploded .,,The shake [* m:base:en] soda exploded .,The shake [:: shaken] [* m:base:en] soda exploded .,
train,1422,synthetic,1,<he needs to buy him an> [//] this rabbit &+i is woke up (be)cause he needs to go home with his father .,,<he needs to buy him an> [//] this rabbit &+i is woke [* m:base:en] up (be)cause he needs to go home with his father .,<he needs to buy him an> [//] this rabbit &+i is [:: has] [* m:allo] woke [:: woken] [* m:base:en] up (be)cause he needs to go home with his father .,
train,8976,synthetic,1,The vase was break into pieces already .,,The vase was break [* m:base:en] into pieces already .,The vase was break [:: broken] [* m:base:en] into pieces already .,
train,6809,synthetic,2,He have fall .,,He have [* m:base:en] fall [* m:base:en] .,He have [:: has] [* m:vun:a] fall [:: fallen] [* m:base:en] .,
train,7292,synthetic,1,He has very white tooth .,,He has very white tooth [* m:base:s] .,He has very white tooth [:: teeth] [* m:base:s] .,
train,9560,synthetic,1,The cat chased five mouse into the garden .,,The cat chased five mouse [* m:base:s] into the garden .,The cat chased five mouse [:: mice] [* m:base:s] into the garden .,
train,7318,synthetic,1,The three mouse ran away from the hungry cat .,,The three mouse [* m:base:s] ran away from the hungry cat .,The three mouse [:: mice] [* m:base:s] ran away from the hungry cat .,
train,7313,synthetic,1,Ten little tooth .,,Ten little tooth [* m:base:s] .,Ten little tooth [:: teeth] [* m:base:s] .,
train,9580,synthetic,1,The cats caught three mouse last night .,,The cats caught three mouse [* m:base:s] last night .,The cats caught three mouse [:: mice] [* m:base:s] last night .,
train,7307,synthetic,1,Brush all your tooth .,,Brush all your tooth [* m:base:s] .,Brush all your tooth [:: teeth] [* m:base:s] .,
train,7323,synthetic,1,All the child followed the piper out of the town .,,All the child [* m:base:s] followed the piper out of the town .,All the child [:: children] [* m:base:s] followed the piper out of the town .,
train,7298,synthetic,1,He is six foot tall .,,He is six foot [* m:base:s] tall .,He is six foot [:: feet] [* m:base:s] tall .,
train,9571,synthetic,1,The dentist checked all my tooth carefully .,,The dentist checked all my tooth [* m:base:s] carefully .,The dentist checked all my tooth [:: teeth] [* m:base:s] carefully .,
train,9558,synthetic,1,The farmer used four ox to pull the heavy cart .,,The farmer used four ox [* m:base:s] to pull the heavy cart .,The farmer used four ox [:: oxen] [* m:base:s] to pull the heavy cart .,
train,9587,synthetic,1,Ten ox were pulling the heavy plow .,,Ten ox [* m:base:s] were pulling the heavy plow .,Ten ox [:: oxen] [* m:base:s] were pulling the heavy plow .,
train,1770,synthetic,1,and then she just about got it .,,and then she just about got [* m:irr:ed] it .,and then she just about got it .,"difficult to annotate morphologically, the error is more syntactic "
train,8138,synthetic,1,&-um baby fallen .,&-um baby always fallen .,&-um baby fallen [* m:irr:en] .,&-um baby always fallen [:: falls] [* m:irr:en] .,I added always to the input otherwise it's ambiguous
train,8216,synthetic,1,They don't forgotten your birthday every year .,,They don't forgotten [* m:irr:en] your birthday every year .,They don't forgotten [:: forget] [* m:irr:en] your birthday every year .,
train,8147,synthetic,1,Every day the explorer taken notes on the local wildlife .,,Every day the explorer taken [* m:irr:en] notes on the local wildlife .,Every day the explorer taken [:: takes] [* m:irr:en] notes on the local wildlife .,
train,8221,synthetic,1,&-uh he don't broken it .,,&-uh he don't broken [* m:irr:en] it .,&-uh he don't [:: doesn't] [* m:03s:a] broken [:: break] [* m:irr:en] it .,
train,8180,synthetic,1,Every day I taken the bus .,,Every day I taken [* m:irr:en] the bus .,Every day I taken [:: take] [* m:irr:en] the bus .,
train,8132,synthetic,1,he broken toy .,he always broken toy .,he broken [* m:irr:en] toy .,he always broken [:: breaks] [* m:irr:en] toy .,I added always to the input otherwise it's ambiguous
train,8141,synthetic,1,&-uh she don't broken .,,&-uh she don't broken [* m:irr:en] .,&-uh she don't [:: doesn't] [* m:03s:a] broken [:: break] [* m:irr:en] .,
train,8224,synthetic,1,me want to written .,,me want to written [* m:irr:en] .,me [:: I] [* s:r:gc:pro] want to written [:: write] [* m:irr:en] .,
train,7221,synthetic,1,Every children in the village received a small gift from the queen .,,Every children [* m:irr:s] in the village received a small gift from the queen .,Every children [:: child] [* m:irr:s] in the village received a small gift from the queen .,
train,9426,synthetic,1,children eating .,,children [* m:irr:s] eating .,children [:: child] [* m:irr:s] eating .,
train,9434,synthetic,1,&-uh that children crying .,,&-uh that children [* m:irr:s] crying .,&-uh that children [:: child] [* m:irr:s] crying .,
train,9450,synthetic,1,One teeth remained in the skull of the ancient prehistoric animal .,,One teeth [* m:irr:s] remained in the skull of the ancient prehistoric animal .,One teeth [:: tooth] [* m:irr:s] remained in the skull of the ancient prehistoric animal .,
train,9445,synthetic,1,The traveler wore a leather boot on his left feet .,,The traveler wore a leather boot on his left feet [* m:irr:s] .,The traveler wore a leather boot on his left feet [:: foot] [* m:irr:s] .,
