split,seed,row_id,input,gold,nonword_only,preserve,gold_tags,nonword_only_tags,preserve_tags
test_real,3407,2757,he was &+es going to get hungry and hungrier .,he was &+es going to get hungry and hungrier .,he was &-es going to get hungry and hungrier [: hungrier] [* s:r:der] .,he was &-es going to get hungry and hungrier .,,[* s:r:der],
test_real,3407,2840,they walked until they had a party .,they walked until they had a party .,they walked until they had [* m:vsg:a] a party .,they walked until they had a party .,,[* m:vsg:a],
test_real,3407,3383,make castles to put snow .,make castles to put snow .,make castles to put [* m:03s:a] snow .,make castles to put snow .,,[* m:03s:a],
test_real,3407,4625,&-uh there's an elephant .,&-uh there's an elephant .,&-uh there's an [* s:r:gc:det] elephant .,&-uh there's an elephant .,,[* s:r:gc:det],
test_real,3407,4945,the elephant hurt her knee .,the elephant hurt her knee .,the elephant hurt her [* s:r:gc:det] knee .,the elephant hurt her knee .,,[* s:r:gc:det],
test_real,3407,4976,and then the elephant's really happy .,and then the elephant's really happy .,and then the elephant's [* m:vsg:a] really happy .,and then the elephant's really happy .,,[* m:vsg:a],
test_real,3407,5438,now the elephant's flying the plane .,now the elephant's flying the plane .,now the elephant's flying [* m:03s:a] the plane .,now the elephant's flying the plane .,,[* m:03s:a],
test_real,3407,5618,I saw an elephant go swimming .,I saw an elephant go swimming .,I saw an [* m:0's] elephant go swimming .,I saw an elephant go swimming .,,[* m:0's],
test_real,3407,5760,I like the cookie factory instead .,I like the cookie factory instead .,I like the cookie factory [* s:r:prep] instead .,I like the cookie factory instead .,,[* s:r:prep],
test_real,3407,6377,and he got him all the day .,and he got him all the day .,and he got him [* m:03s:a] all the day .,and he got him all the day .,,[* m:03s:a],
test_real,3407,6688,and then they were going to get through to &-um eat to have a picnic .,and then they were going to get through to &-um eat to have a picnic .,and then they were going to get through to &-um eat [* m:03s:a] to have a picnic .,and then they were going to get through to &-um eat to have a picnic .,,[* m:03s:a],
test_real,3408,1293,and they runned !,and they runned [: ran] [* m:=ed] !,and they runned [: ran] [* m:++en:i] !,and they runned [: ran] [* m:=ed] !,[* m:=ed],[* m:++en:i],[* m:=ed]
test_real,3408,1308,then her bunny comed .,then her bunny comed [: came] [* m:=ed] .,then her bunny comed [: came] [* m:=en] .,then her bunny comed [: came] [* m:=ed] .,[* m:=ed],[* m:=en],[* m:=ed]
test_real,3408,1338,him was making a house .,him [:: he] [* s:r:gc:pro] was making a house .,him [* m:base:s] was making a house .,him [:: he] [* s:r:gc:pro] was making a house .,[* s:r:gc:pro],[* m:base:s],[* s:r:gc:pro]
test_real,3408,1370,and he have lots of balloo(n) .,and he have [:: has] [* m:vun:a] lots of balloo(n) .,and he have [* m:base:s] lots of balloo(n).,and he have [:: has] [* m:vun:a] lots of balloo(n).,[* m:vun:a],[* m:base:s],[* m:vun:a]
test_real,3408,1519,and then her hurt herself .,and then her [:: she] [* s:r:gc:pro] hurt herself .,and then her [* m:base:s] hurt herself .,and then her [:: she] [* s:r:gc:pro] hurt herself .,[* s:r:gc:pro],[* m:base:s],[* s:r:gc:pro]
test_real,3408,1561,the elephant said &-uh &~aah why there's a egg !,the elephant said &-uh &~aah why there's a [:: an] [* m:allo] egg !,the elephant said &-uh &~aah why there's a [* m:base:s] egg !,the elephant said &-uh &~aah why there's a [* m:allo] egg !,[* m:allo],[* m:base:s],[* m:allo]
test_real,3408,1689,mom reach it .,mom reach [:: reaches] [* m:03s:a] it .,mom reach [* m:0ing] it .,mom reach [* m:03s:a] it .,[* m:03s:a],[* m:0ing],[* m:03s:a]
test_real,3408,1696,and then her can do it .,and then her [:: she] [* s:r:gc:pro] can do it .,and then her [* m:base:s] can do it .,and then her [:: she] [* s:r:gc:pro] can do it .,[* s:r:gc:pro],[* m:base:s],[* s:r:gc:pro]
test_real,3408,1716,and him was floating down .,and him [:: he] [* s:r:gc:pro] was floating down .,and him [* m:base:s] was floating down .,and him [:: he] [* s:r:gc:pro] was floating down .,[* s:r:gc:pro],[* m:base:s],[* s:r:gc:pro]
test_real,3408,1802,there &+w I saw a elephant down on the sidewalk .,there &+w I saw a [:: an] [* m:allo] elephant down on the sidewalk .,there &-w I saw a [* m:0ing] elephant down on the sidewalk .,there &-w I saw a [* m:allo] elephant down on the sidewalk .,[* m:allo],[* m:0ing],[* m:allo]
test_real,3408,1865,and her got back the ball .,and her [:: she] [* s:r:gc:pro] got back the ball .,and her [* m:base:s] got back the ball .,and her [:: she] [* s:r:gc:pro] got back the ball .,[* s:r:gc:pro],[* m:base:s],[* s:r:gc:pro]
test_real,3408,1885,and then &-um a girl elephant comed .,and then &-um a girl elephant comed [: came] [* m:=ed] .,and then &-um a girl elephant comed [* m:0ing] .,and then &-um a girl elephant comed [: came] [* m:=ed] .,[* m:=ed],[* m:0ing],[* m:=ed]
test_real,3408,2072,and then &-um the bunny rabbit's grandma came .,and then &-um the bunny rabbit's grandma came .,and then &-um the bunny rabbit's [* m:base:s] grandma came .,and then &-um the bunny rabbit's grandma came .,,[* m:base:s],
test_real,3408,2153,and then if you fight no more balloons .,and then if you fight no more balloons .,and then if you fight [* m:base:s] no more balloons .,and then if you fight no more balloons .,,[* m:base:s],
test_real,3408,2274,and then the bunny's filling up a pail with sand .,and then the bunny's filling up a pail with sand .,and then the bunny's [* m:base:s] filling up a pail with sand .,and then the bunny's filling up a pail with sand .,,[* m:base:s],
test_real,3408,2577,the rabbit's eating candy .,the rabbit's eating candy .,the rabbit's [* m:base:s] eating candy .,the rabbit's eating candy .,,[* m:base:s],
test_real,3408,2757,he was &+es going to get hungry and hungrier .,he was &+es going to get hungry and hungrier .,he was &-es going to get hungry and hungrier [: hungrier] [* s:r:der] .,he was &-es going to get hungry and hungrier .,,[* s:r:der],
test_real,3408,2840,they walked until they had a party .,they walked until they had a party .,they walked until they had [* m:base:s] a party .,they walked until they had a party .,,[* m:base:s],
test_real,3408,3490,&-um a basket .,&-um a basket .,&-um a [* m:base:s] basket .,&-um a basket .,,[* m:base:s],
test_real,3408,3788,and he was gonna not destroy his .,and he was gonna not destroy his .,and he was gonna not [* m:base:s] destroy his .,and he was gonna not destroy his .,,[* m:base:s],
test_real,3408,3904,there's nine .,there's nine .,there's [* m:base:s] nine .,there's nine .,,[* m:base:s],
test_real,3408,4625,&-uh there's an elephant .,&-uh there's an elephant .,&-uh there's an [* m:base:s] elephant .,&-uh there's an elephant .,,[* m:base:s],
test_real,3408,4722,there's strangers .,there's strangers .,there's [* m:base:s] strangers .,there's strangers .,,[* m:base:s],
test_real,3408,5499,and the other &-um elephant came .,and the other &-um elephant came .,and the other &-um [* m:allo] elephant came .,and the other &-um elephant came .,,[* m:allo],
test_real,3408,5618,I saw an elephant go swimming .,I saw an elephant go swimming .,I saw an elephant go [* m:0ing] swimming .,I saw an elephant go swimming .,,[* m:0ing],
test_real,3408,6569,then he grabbed where there's two cookies .,then he grabbed where there's two cookies .,then he grabbed where there's [* m:base:s] two cookies .,then he grabbed where there's two cookies .,,[* m:base:s],
test_real,3408,6639,and then there was a giraffe &+com coming by .,and then there was a giraffe &+com coming by .,and then there was a giraffe &-com [* m:0ing] coming by .,and then there was a giraffe &-com coming by .,,[* m:0ing],
test_real,3408,6688,and then they were going to get through to &-um eat to have a picnic .,and then they were going to get through to &-um eat to have a picnic .,and then they were going to get through to &-um eat [* m:0ing] to have a picnic .,and then they were going to get through to &-um eat to have a picnic .,,[* m:0ing],
test_real,3409,1440,then &+c then they were making a other castle .,then &+c then they were making a [:: an] [* m:allo] other castle .,then &-c then they were making a other [* s:r:prep] castle .,then &-c then they were making a other [:: an] [* m:allo] castle .,[* m:allo],[* s:r:prep],[* m:allo]
test_real,3409,1885,and then &-um a girl elephant comed .,and then &-um a girl elephant comed [: came] [* m:=ed] .,and then &-um a girl elephant comed [* m:03s:a] .,and then &-um a girl elephant comed [: came] [* m:=ed] .,[* m:=ed],[* m:03s:a],[* m:=ed]
test_real,3409,2153,and then if you fight no more balloons .,and then if you fight no more balloons .,and then if you fight [* s:r:prep] no more balloons .,and then if you fight no more balloons .,,[* s:r:prep],
test_real,3409,2274,and then the bunny's filling up a pail with sand .,and then the bunny's filling up a pail with sand .,and then the bunny's [* m:0's] filling up a pail with sand .,and then the bunny's filling up a pail with sand .,,[* m:0's],
test_real,3409,2614,he helped make a sandcastle .,he helped make a sandcastle .,he helped make [* s:r:prep] a sandcastle .,he helped make a sandcastle .,,[* s:r:prep],
test_real,3409,3348,and now the daddy's there .,and now the daddy's there .,and now the daddy's [* m:irr:s] there .,and now the daddy's there .,,[* m:irr:s],
test_real,3409,3623,&-uh yuck .,&-uh yuck .,&-uh yuck [: talk] [* m:=ed] .,&-uh yuck .,,[* m:=ed],
test_real,3409,3962,the rabbit eats all the food .,the rabbit eats all the food .,the rabbit eats [* m:irr:s] all the food .,the rabbit eats all the food .,,[* m:irr:s],
test_real,3409,4479,&-uh well she hadta sit down so it could feel better .,&-uh well she hadta [: had to] sit down so it could feel better .,&-uh well she hadta sit [* m:03s:a] down so it could feel better .,&-uh well she hadta sit down so it could feel better .,,[* m:03s:a],
test_real,3409,4550,I see a kid .,I see a kid .,I see a [* m:irr:s] kid .,I see a kid .,,[* m:irr:s],
test_real,3409,4945,the elephant hurt her knee .,the elephant hurt her knee .,the elephant hurt her [* s:r:gc:det] knee .,the elephant hurt her knee .,,[* s:r:gc:det],
test_real,3409,4976,and then the elephant's really happy .,and then the elephant's really happy .,and then the elephant's [* m:irr:s] really happy .,and then the elephant's really happy .,,[* m:irr:s],
test_real,3409,5438,now the elephant's flying the plane .,now the elephant's flying the plane .,now the elephant's flying [* m:irr:s] the plane .,now the elephant's flying the plane .,,[* m:irr:s],
test_real,3409,5443,and the horsie's sad .,and the horsie's sad .,and the horsie's [: horse] [* m:++s] sad .,and the horsie's sad .,,[* m:++s],
test_real,3409,5494,and then hers stayed on .,and then hers stayed on .,and then hers [* m:irr:s] stayed on .,and then hers stayed on .,,[* m:irr:s],
test_real,3409,5618,I saw an elephant go swimming .,I saw an elephant go swimming .,I saw an [* m:0's] elephant go swimming .,I saw an elephant go swimming .,,[* m:0's],
test_real,3409,5640,then rabbit do nt want a balloon .,then rabbit do n(o)t want a balloon .,then rabbit do nt [* m:vun:a] want a balloon .,then rabbit do nt [:: doesn't]  want a balloon .,,[* m:vun:a],
test_real,3409,5754,so the lifeguard came and got her a bandage for her knee .,so the lifeguard came and got her a bandage for her knee .,so the lifeguard came and got her [* s:r:prep] a bandage for her knee .,so the lifeguard came and got her a bandage for her knee .,,[* s:r:prep],
test_real,3409,5760,I like the cookie factory instead .,I like the cookie factory instead .,I like the cookie [* m:0's] factory instead .,I like the cookie factory instead .,,[* m:0's],
test_real,3409,6688,and then they were going to get through to &-um eat to have a picnic .,and then they were going to get through to &-um eat to have a picnic .,and then they were going to get through to &-um eat [* m:03s:a] to have a picnic .,and then they were going to get through to &-um eat to have a picnic .,,[* m:03s:a],
