review_id,source_jsonl_path,row_id,file_name,file_path,utterance_index_raw,line_no,speaker,original_speaker,tt_is_target_line,tt_line_confidence,change_type,utterance,tt_annotated_text,correct_utterance
11,/Users/shamiraventurini/PycharmProjects/talkbank-morphosyntax-error-annotator/study_02_hitl_adaptation/data/2026-03-23_training-data-auto-annotated/training_zero_error_only_chi.jsonl,2469,465_B3.cha,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/B_original/465_B3.cha,2124,,*CHI,UNK,TRUE,0.95,transcript_normalization,not the x@l with the banana .,(.) not the x@l with the banana.,not the x@l with the banana .
12,/Users/shamiraventurini/PycharmProjects/talkbank-morphosyntax-error-annotator/study_02_hitl_adaptation/data/2026-03-23_training-data-auto-annotated/training_zero_error_only_chi.jsonl,6219,469_A2.cha,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/469_A2.cha,1885,,*CHI,UNK,TRUE,0.95,transcript_normalization,&=laughs what are they +...,&laughs what are they +...,&=laughs what are they +...
13,/Users/shamiraventurini/PycharmProjects/talkbank-morphosyntax-error-annotator/study_02_hitl_adaptation/data/2026-03-23_training-data-auto-annotated/training_zero_error_only_chi.jsonl,6122,480_A3.cha,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/480_A3.cha,6,,*CHI,UNK,TRUE,0.95,inline_markup,and see this man can t catch us .,and see this man can [:: cannot] [* m:03s:a] catch us.,and see this man can't catch us .
14,/Users/shamiraventurini/PycharmProjects/talkbank-morphosyntax-error-annotator/study_02_hitl_adaptation/data/2026-03-23_training-data-auto-annotated/training_zero_error_only_chi.jsonl,5977,502_A3.cha,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/502_A3.cha,2573,,*CHI,UNK,TRUE,0.95,inline_markup,and he &+s cided to get it .,and he &+s cided [: decided] [* m:=ed] to get it.,and he &+s cided to get it .
15,/Users/shamiraventurini/PycharmProjects/talkbank-morphosyntax-error-annotator/study_02_hitl_adaptation/data/2026-03-23_training-data-auto-annotated/training_zero_error_only_chi.jsonl,2215,504_B1.cha,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/B_original/504_B1.cha,2450,,*CHI,UNK,TRUE,0.95,transcript_normalization,(o)kay they were playing in the sandbox .,(okay) they were playing in the sandbox.,(o)kay they were playing in the sandbox .
16,/Users/shamiraventurini/PycharmProjects/talkbank-morphosyntax-error-annotator/study_02_hitl_adaptation/data/2026-03-23_training-data-auto-annotated/training_zero_error_only_chi.jsonl,6265,506_A2.cha,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/506_A2.cha,528,,*CHI,UNK,TRUE,0.95,transcript_normalization,her dad was &-um so happy at her friend .,(.) her dad was &-um so happy at her friend.,her dad was &-um so happy at [:: for] [* s:r:prep] her friend .
17,/Users/shamiraventurini/PycharmProjects/talkbank-morphosyntax-error-annotator/study_02_hitl_adaptation/data/2026-03-23_training-data-auto-annotated/training_zero_error_only_chi.jsonl,3508,507_B3.cha,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/B_original/507_B3.cha,662,,*CHI,UNK,TRUE,0.95,transcript_normalization,not talking .,(.) not talking.,not talking .
18,/Users/shamiraventurini/PycharmProjects/talkbank-morphosyntax-error-annotator/study_02_hitl_adaptation/data/2026-03-23_training-data-auto-annotated/training_zero_error_only_chi.jsonl,3495,507_B3.cha,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/B_original/507_B3.cha,2480,,*CHI,UNK,TRUE,0.95,transcript_normalization,exactly the same .,(.) exactly the same.,exactly the same .
19,/Users/shamiraventurini/PycharmProjects/talkbank-morphosyntax-error-annotator/study_02_hitl_adaptation/data/2026-03-23_training-data-auto-annotated/training_zero_error_only_chi.jsonl,6611,508_A1.cha,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/508_A1.cha,1716,,*CHI,UNK,TRUE,0.95,inline_markup,a giraffe &+d come .,a giraffe &+d come [:: comes] [* m:03s:a].,a giraffe &+d come [:: comes] [* m:03s:a] .
20,/Users/shamiraventurini/PycharmProjects/talkbank-morphosyntax-error-annotator/study_02_hitl_adaptation/data/2026-03-23_training-data-auto-annotated/training_zero_error_only_chi.jsonl,2416,518_B2.cha,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/B_original/518_B2.cha,2914,,*CHI,UNK,TRUE,0.95,transcript_normalization,I live on +...,I live on &-,I live on +...
21,/Users/shamiraventurini/PycharmProjects/talkbank-morphosyntax-error-annotator/study_02_hitl_adaptation/data/2026-03-23_training-data-auto-annotated/training_zero_error_only_chi.jsonl,2509,518_B3.cha,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/B_original/518_B3.cha,2655,,*CHI,UNK,TRUE,0.95,transcript_normalization,and then it wa getting shorter and shorter .,and then it wa(s) getting shorter and shorter.,and then it wa(s) getting shorter and shorter.
22,/Users/shamiraventurini/PycharmProjects/talkbank-morphosyntax-error-annotator/study_02_hitl_adaptation/data/2026-03-23_training-data-auto-annotated/training_zero_error_only_chi.jsonl,3620,523_B2.cha,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/B_original/523_B2.cha,2173,,*CHI,UNK,TRUE,0.95,transcript_normalization,a doctor is listenig .,a doctor is listeni(n)g.,a doctor is listenig .
23,/Users/shamiraventurini/PycharmProjects/talkbank-morphosyntax-error-annotator/study_02_hitl_adaptation/data/2026-03-23_training-data-auto-annotated/training_zero_error_only_chi.jsonl,5814,524_A2.cha,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/524_A2.cha,1791,,*CHI,UNK,TRUE,0.95,inline_markup,and then her went back to her friends .,and then her [:: she] [* s:r:gc:pro] went back to her friends.,and then her [:: she] [* s:r:gc:pro] went back to her friends.
24,/Users/shamiraventurini/PycharmProjects/talkbank-morphosyntax-error-annotator/study_02_hitl_adaptation/data/2026-03-23_training-data-auto-annotated/training_zero_error_only_chi.jsonl,3030,524_B3.cha,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/B_original/524_B3.cha,1340,,*CHI,UNK,TRUE,0.95,transcript_normalization,when he was going to play at the park the bunny went an touched the balloon .,when he was going to play at the park the bunny went an(d) touched the balloon.,when he was going to play at the park the bunny went an(d) touched the balloon.
25,/Users/shamiraventurini/PycharmProjects/talkbank-morphosyntax-error-annotator/study_02_hitl_adaptation/data/2026-03-23_training-data-auto-annotated/training_zero_error_only_chi.jsonl,3076,536_B3.cha,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/B_original/536_B3.cha,2900,,*CHI,UNK,TRUE,0.95,transcript_normalization,so then &-um +...,so then &-um &-,so then &-um +...
26,/Users/shamiraventurini/PycharmProjects/talkbank-morphosyntax-error-annotator/study_02_hitl_adaptation/data/2026-03-23_training-data-auto-annotated/training_zero_error_only_chi.jsonl,6068,545_A3.cha,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/545_A3.cha,1261,,*CHI,UNK,TRUE,0.95,inline_markup,and then there's two elephants .,and then there's [:: are] [* m:vsg:a] two elephants.,and then there's [:: are] [* m:vsg:a] two elephants.
27,/Users/shamiraventurini/PycharmProjects/talkbank-morphosyntax-error-annotator/study_02_hitl_adaptation/data/2026-03-23_training-data-auto-annotated/training_zero_error_only_chi.jsonl,5089,568_A1.cha,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/568_A1.cha,135,,*CHI,UNK,TRUE,0.95,transcript_normalization,the elephant is playing basball .,the elephant is playing bas(ket)ball.,the elephant is playing bas(ket)ball.
28,/Users/shamiraventurini/PycharmProjects/talkbank-morphosyntax-error-annotator/study_02_hitl_adaptation/data/2026-03-23_training-data-auto-annotated/training_zero_error_only_chi.jsonl,3036,train_row_3036.txt,,3985,,*CHI,UNK,TRUE,0.95,transcript_normalization,can I have anoer bunny for the dog ?,can I have ano(th)er bunny for the dog?,can I have ano(th)er bunny for the dog?
29,/Users/shamiraventurini/PycharmProjects/talkbank-morphosyntax-error-annotator/study_02_hitl_adaptation/data/2026-03-23_training-data-auto-annotated/training_zero_error_only_chi.jsonl,3592,train_row_3592.txt,,4125,,*CHI,UNK,TRUE,0.95,transcript_normalization,sure .,(.) sure.,sure .
30,/Users/shamiraventurini/PycharmProjects/talkbank-morphosyntax-error-annotator/study_02_hitl_adaptation/data/2026-03-23_training-data-auto-annotated/training_zero_error_only_chi.jsonl,3646,train_row_3646.txt,,3428,,*CHI,UNK,TRUE,0.95,transcript_normalization,and the they did .,and the(n) they did.,and the(n) they did.
31,/Users/shamiraventurini/PycharmProjects/talkbank-morphosyntax-error-annotator/study_02_hitl_adaptation/data/2026-03-23_training-data-auto-annotated/training_zero_error_only_chi.jsonl,4351,train_row_4351.txt,,3961,,*CHI,UNK,TRUE,0.95,inline_markup,and the bunny run and says .,and the bunny run [:: runs] [* m:03s:a] and says.,and the bunny run [:: runs] [* m:03s:a] and says.
32,/Users/shamiraventurini/PycharmProjects/talkbank-morphosyntax-error-annotator/study_02_hitl_adaptation/data/2026-03-23_training-data-auto-annotated/training_zero_error_only_chi.jsonl,4530,train_row_4530.txt,,3619,,*CHI,UNK,TRUE,0.95,transcript_normalization,the elephant had a&+fr &+friend that had an airpl^ane that he liked to play with .,the elephant had a friend that had an airpl^ane that he liked to play with.,the elephant had a&+fr &+friend that had an airpl^ane that he liked to play with .
33,/Users/shamiraventurini/PycharmProjects/talkbank-morphosyntax-error-annotator/study_02_hitl_adaptation/data/2026-03-23_training-data-auto-annotated/training_zero_error_only_chi.jsonl,486,train_row_486.txt,,3812,,*CHI,UNK,TRUE,0.95,inline_markup,the mouse is mouse tap tap the drum .,the mouse is mouse tap [:: mouse] [* s:r:der] tap [:: taps] [* m:03s:a] the drum.,the mouse is mouse tap tap the drum .
34,/Users/shamiraventurini/PycharmProjects/talkbank-morphosyntax-error-annotator/study_02_hitl_adaptation/data/2026-03-23_training-data-auto-annotated/training_zero_error_only_chi.jsonl,518,train_row_518.txt,,3386,,*CHI,UNK,TRUE,0.95,inline_markup,Mommy see eating cookies .,Mommy see [:: sees] [* m:03s:a] eating cookies.,Mommy see [:: sees] [* m:03s:a] eating cookies.
35,/Users/shamiraventurini/PycharmProjects/talkbank-morphosyntax-error-annotator/study_02_hitl_adaptation/data/2026-03-23_training-data-auto-annotated/training_zero_error_only_chi.jsonl,526,train_row_526.txt,,3702,,*CHI,UNK,TRUE,0.95,inline_markup,tell to him but he don't understand,tell to him but he don't [:: doesn't] [* m:03s:a] understand,tell to him but he don't [:: doesn't] [* m:03s:a] understand
36,/Users/shamiraventurini/PycharmProjects/talkbank-morphosyntax-error-annotator/study_02_hitl_adaptation/data/2026-03-23_training-data-auto-annotated/training_zero_error_only_chi.jsonl,551,train_row_551.txt,,3621,,*CHI,UNK,TRUE,0.95,transcript_normalization,not mean to ruin .,(.) not mean to ruin.,not mean to ruin .
37,/Users/shamiraventurini/PycharmProjects/talkbank-morphosyntax-error-annotator/study_02_hitl_adaptation/data/2026-03-23_training-data-auto-annotated/training_zero_error_only_chi.jsonl,5715,train_row_5715.txt,,3979,,*CHI,UNK,TRUE,0.95,transcript_normalization,&-um upon a time there was a little y: and he was going to the store .,&-um upon a time there was a little boy: and he was going to the store.,&-um upon a time there was a little y: and he was going to the store .
38,/Users/shamiraventurini/PycharmProjects/talkbank-morphosyntax-error-annotator/study_02_hitl_adaptation/data/2026-03-23_training-data-auto-annotated/training_zero_error_only_chi.jsonl,627,train_row_627.txt,,3713,,*CHI,UNK,TRUE,0.95,transcript_normalization,Is very cold today .,is very cold today.,is very cold today .
39,/Users/shamiraventurini/PycharmProjects/talkbank-morphosyntax-error-annotator/study_02_hitl_adaptation/data/2026-03-23_training-data-auto-annotated/training_zero_error_only_chi.jsonl,630,train_row_630.txt,,3338,,*CHI,UNK,TRUE,0.95,transcript_normalization,"Because is raining , we stay inside .","because is raining, we stay inside.","because is raining , we stay inside ."
40,/Users/shamiraventurini/PycharmProjects/talkbank-morphosyntax-error-annotator/study_02_hitl_adaptation/data/2026-03-23_training-data-auto-annotated/training_zero_error_only_chi.jsonl,631,train_row_631.txt,,3770,,*CHI,UNK,TRUE,0.95,transcript_normalization,Is necessary to call the doctor .,is necessary to call the doctor.,is necessary to call the doctor .
41,/Users/shamiraventurini/PycharmProjects/talkbank-morphosyntax-error-annotator/study_02_hitl_adaptation/data/2026-03-23_training-data-auto-annotated/training_zero_error_only_chi.jsonl,634,train_row_634.txt,,4039,,*CHI,UNK,TRUE,0.95,transcript_normalization,"If is possible , I will come .","if is possible, I will come.","if is possible , I will come ."
42,/Users/shamiraventurini/PycharmProjects/talkbank-morphosyntax-error-annotator/study_02_hitl_adaptation/data/2026-03-23_training-data-auto-annotated/training_zero_error_only_chi.jsonl,635,train_row_635.txt,,3807,,*CHI,UNK,TRUE,0.95,transcript_normalization,Is expensive to live in London .,is expensive to live in London.,is expensive to live in London.
43,/Users/shamiraventurini/PycharmProjects/talkbank-morphosyntax-error-annotator/study_02_hitl_adaptation/data/2026-03-23_training-data-auto-annotated/training_zero_error_only_chi.jsonl,636,train_row_636.txt,,3474,,*CHI,UNK,TRUE,0.95,transcript_normalization,Said that he was tired .,said that he was tired.,said that he was tired.
44,/Users/shamiraventurini/PycharmProjects/talkbank-morphosyntax-error-annotator/study_02_hitl_adaptation/data/2026-03-23_training-data-auto-annotated/training_zero_error_only_chi.jsonl,6372,train_row_6372.txt,,4021,,*CHI,UNK,TRUE,0.95,transcript_normalization,now I'm going to be n:on:on:o .,now I'm going to be n::on::on::o.,now I'm going to be n::on::on::o.
45,/Users/shamiraventurini/PycharmProjects/talkbank-morphosyntax-error-annotator/study_02_hitl_adaptation/data/2026-03-23_training-data-auto-annotated/training_zero_error_only_chi.jsonl,638,train_row_638.txt,,3612,,*CHI,UNK,TRUE,0.95,transcript_normalization,Saw the movie last night .,saw the movie last night.,saw the movie last night.
46,/Users/shamiraventurini/PycharmProjects/talkbank-morphosyntax-error-annotator/study_02_hitl_adaptation/data/2026-03-23_training-data-auto-annotated/training_zero_error_only_chi.jsonl,646,train_row_646.txt,,4104,,*CHI,UNK,TRUE,0.95,transcript_normalization,felt Sad .,felt sad.,felt sad.
47,/Users/shamiraventurini/PycharmProjects/talkbank-morphosyntax-error-annotator/study_02_hitl_adaptation/data/2026-03-23_training-data-auto-annotated/training_zero_error_only_chi.jsonl,648,train_row_648.txt,,4019,,*CHI,UNK,TRUE,0.95,transcript_normalization,Broke glass .,broke glass.,broke glass.
48,/Users/shamiraventurini/PycharmProjects/talkbank-morphosyntax-error-annotator/study_02_hitl_adaptation/data/2026-03-23_training-data-auto-annotated/training_zero_error_only_chi.jsonl,650,train_row_650.txt,,4097,,*CHI,UNK,TRUE,0.95,transcript_normalization,Saw pretty bird .,saw pretty bird.,saw pretty bird.
49,/Users/shamiraventurini/PycharmProjects/talkbank-morphosyntax-error-annotator/study_02_hitl_adaptation/data/2026-03-23_training-data-auto-annotated/training_zero_error_only_chi.jsonl,7644,train_row_7644.txt,,3879,,*CHI,UNK,TRUE,0.95,transcript_normalization,ddey were working vewy hard .,dey were working vewy hard.,ddey were working vewy hard .
50,/Users/shamiraventurini/PycharmProjects/talkbank-morphosyntax-error-annotator/study_02_hitl_adaptation/data/2026-03-23_training-data-auto-annotated/training_zero_error_only_chi.jsonl,7645,train_row_7645.txt,,3387,,*CHI,UNK,TRUE,0.95,transcript_normalization,he pwayed sand on top of wike +...,he pwayed sand on top of wike &-,he pwayed sand on top of wike +...
