split,row_id,labels,review_reason,severity,input,manual_input,output,manual_output,decision,notes
train,9851,m:vun:a,agreement_collective_or_style_sensitive,medium,The group of scientists were investigating the ancient site .,,The group of scientists were [:: was] [* m:vun:a] investigating the ancient site .,,correct,"Agreement judgment may vary with collective-noun treatment, dialect, or style."
train,9852,m:vsg:a,agreement_collective_or_style_sensitive,medium,The results of the experiment is very interesting to the team .,,The results of the experiment is [:: are] [* m:vsg:a] very interesting to the team .,,correct,"Agreement judgment may vary with collective-noun treatment, dialect, or style."
train,9855,m:vun:a,agreement_collective_or_style_sensitive,medium,The family were sitting around the fire telling stories .,,The family were [:: was] [* m:vun:a] sitting around the fire telling stories .,,correct,"Agreement judgment may vary with collective-noun treatment, dialect, or style."
train,9871,m:vun:a,agreement_collective_or_style_sensitive,medium,The teacher have a lot of patience with the class .,,The teacher have [:: has] [* m:vun:a] a lot of patience with the class .,,correct,"Agreement judgment may vary with collective-noun treatment, dialect, or style."
train,9881,m:vun:a,agreement_collective_or_style_sensitive,medium,The group were arguing about the best path to take .,,The group were [:: was] [* m:vun:a] arguing about the best path to take .,,correct,"Agreement judgment may vary with collective-noun treatment, dialect, or style."
eval_coverage,7444,m:0ed,past_no_clear_anchor,high,We wait for the bus for an hour .,the last time we wait for the bus for an hour .,We wait [:: waited] [* m:0ed] for the bus for an hour .,the last time we wait [:: waited] [* m:0ed] for the bus for an hour .,,Past-tense annotation appears to rely on weak or absent obligatory past context.
eval_coverage,8285,m:irr:ed,past_no_clear_anchor,high,The woman who will sang tonight is a professional .,,The woman who will sang [:: sing] [* m:irr:ed] tonight is a professional .,,correct,Past-tense annotation appears to rely on weak or absent obligatory past context.
test_coverage,235,m:base:ed,past_no_clear_anchor,high,He think he could catch the rabbit .,,He think [:: thought] [* m:base:ed] he could catch the rabbit .,,correct,Past-tense annotation appears to rely on weak or absent obligatory past context.
test_coverage,7442,m:0ed,past_no_clear_anchor,high,They listen to music all night .,They listen to music all night that time .,They listen [:: listened] [* m:0ed] to music all night .,They listen [:: listened] [* m:0ed] to music all night that time .,,Past-tense annotation appears to rely on weak or absent obligatory past context.
test_coverage,7482,m:0ed,past_no_clear_anchor,high,They discovered the map and follow the path into the forest .,,They discovered the map and follow [:: followed] [* m:0ed] the path into the forest .,,correct,Past-tense annotation appears to rely on weak or absent obligatory past context.
test_coverage,7625,m:sub:ed,past_no_clear_anchor,high,"In the nineteenth century , authors written many famous novels .",,"In the nineteenth century, authors written [:: wrote] [* m:sub:ed] many famous novels .",,correct,Past-tense annotation appears to rely on weak or absent obligatory past context.
test_coverage,8275,m:irr:ed,past_no_clear_anchor,high,Can the musician sang the national anthem today ?,,Can the musician sang [:: sing] [* m:irr:ed] the national anthem today ?,,correct,Past-tense annotation appears to rely on weak or absent obligatory past context.
test_coverage,9933,m:0ed,past_no_clear_anchor,high,The detective question the neighbor about the loud noise .,The detective question the neighbor about the loud noise that was heard before the accident .,The detective question [:: questioned] [* m:0ed] the neighbor about the loud noise .,The detective question [:: questioned] [* m:0ed] the neighbor about the loud noise that was heard before the accident .,,Past-tense annotation appears to rely on weak or absent obligatory past context.
train,213,m:base:ed,past_no_clear_anchor,high,My father bring me a gift from his trip .,My father bring me a gift from his trip last summer .,My father bring [:: brought] [* m:base:ed] me a gift from his trip .,My father bring [:: brought] [* m:base:ed] me a gift from his trip last summer .,,Past-tense annotation appears to rely on weak or absent obligatory past context.
train,222,m:base:ed,past_no_clear_anchor,high,I find my keys two hours later .,,I find [:: found] [* m:base:ed] my keys two hours later .,,correct,Past-tense annotation appears to rely on weak or absent obligatory past context.
train,225,m:base:ed,past_no_clear_anchor,high,He sit on chair and watched tv .,he sit on chair and watched tv last night .,He sit [:: sat] [* m:base:ed] on chair and watched tv .,He sit [:: sat] [* m:base:ed] on chair and watched tv last night .,,Past-tense annotation appears to rely on weak or absent obligatory past context.
train,226,m:base:ed,past_no_clear_anchor,high,And then they make a mess .,I cleaned and then they make a mess .,And then they make [:: made] [* m:base:ed] a mess .,I cleaned and then they make [:: made] [* m:base:ed] a mess .,,Past-tense annotation appears to rely on weak or absent obligatory past context.
train,227,m:base:ed,past_no_clear_anchor,high,At the time I think so too .,,At the time I think [:: thought] [* m:base:ed] so too .,,correct,Past-tense annotation appears to rely on weak or absent obligatory past context.
train,231,m:base:ed,past_no_clear_anchor,high,The frog jump out and the boy see it .,,The frog jumped out and the boy see [:: saw] [* m:base:ed] it .,,correct,Past-tense annotation appears to rely on weak or absent obligatory past context.
train,245,m:base:ed,past_no_clear_anchor,high,They tell the truth to the police in the first place .,,They tell [:: told] [* m:base:ed] the truth to the police in the first place .,,correct,Past-tense annotation appears to rely on weak or absent obligatory past context.
train,246,m:base:ed,past_no_clear_anchor,high,"The mouse hide cheese , but the rabbit find it anyways .",,"The mouse hid cheese , but the rabbit find [:: found] [* m:base:ed] it anyways .",,correct,Past-tense annotation appears to rely on weak or absent obligatory past context.
train,7593,m:sub:ed,past_no_clear_anchor,high,They given me a beautiful gift last Christmas .,,They given [:: gave] [* m:sub:ed] me a beautiful gift last Christmas .,,correct,Past-tense annotation appears to rely on weak or absent obligatory past context.
train,7610,m:sub:ed,past_no_clear_anchor,high,he hidden my ball once .,,he hidden [:: hid] [* m:sub:ed] my ball once .,,correct,Past-tense annotation appears to rely on weak or absent obligatory past context.
train,7618,m:sub:ed,past_no_clear_anchor,high,I only done homework once !,,I only done [:: did] [* m:sub:ed] homework once !,,correct,Past-tense annotation appears to rely on weak or absent obligatory past context.
train,7638,m:sub:ed,past_no_clear_anchor,high,The explorer written about his journey in a journal once .,,The explorer written [:: wrote] [* m:sub:ed] about his journey in a journal once .,,correct,Past-tense annotation appears to rely on weak or absent obligatory past context.
train,7957,m:base:ed,past_no_clear_anchor,high,I eat a large green apple for breakfast today .,I eat a large green apple for breakfast yesterday .,I eat [:: ate] [* m:base:ed] a large green apple for breakfast today .,I eat [:: ate] [* m:base:ed] a large green apple for breakfast yesterday .,,Past-tense annotation appears to rely on weak or absent obligatory past context.
train,7993,m:base:ed,past_no_clear_anchor,high,Once my grandfather come to visit us in summer .,,Once my grandfather come [:: came] [* m:base:ed] to visit us in summer .,,correct,Past-tense annotation appears to rely on weak or absent obligatory past context.
train,7999,m:base:ed,past_no_clear_anchor,high,The teacher tell the class to be quiet .,"when the noise became loud, the teacher tell the class to be quiet .",The teacher tell [:: told] [* m:base:ed] the class to be quiet .,"when the noise became loud, the teacher tell [:: told] [* m:base:ed] the class to be quiet .",,Past-tense annotation appears to rely on weak or absent obligatory past context.
train,8008,m:base:ed,past_no_clear_anchor,high,The girl find her lost doll in the garden .,The girl find her lost doll in the garden yesterday .,The girl find [:: found] [* m:base:ed] her lost doll in the garden .,The girl find [:: found] [* m:base:ed] her lost doll in the garden yesterday .,,Past-tense annotation appears to rely on weak or absent obligatory past context.
train,8011,m:base:ed,past_no_clear_anchor,high,She buy some groceries on her way home .,She buy some groceries on her way home last night .,She buy [:: bought] [* m:base:ed] some groceries on her way home .,She buy [:: bought] [* m:base:ed] some groceries on her way home last night .,,Past-tense annotation appears to rely on weak or absent obligatory past context.
train,8021,m:base:ed,past_no_clear_anchor,high,I sit in the front row for the concert .,I sit in the front row for the concert last year .,I sit [:: sat] [* m:base:ed] in the front row for the concert .,I sit [:: sat] [* m:base:ed] in the front row for the concert last year .,,Past-tense annotation appears to rely on weak or absent obligatory past context.
train,8264,m:irr:ed,past_no_clear_anchor,high,The bird will sang a beautiful song in the morning .,,The bird will sang [:: sing] [* m:irr:ed] a beautiful song in the morning .,,correct,Past-tense annotation appears to rely on weak or absent obligatory past context.
train,9911,m:0ed,past_no_clear_anchor,high,He pull the wagon all the way to the park once .,,He pull [:: pulled] [* m:0ed] the wagon all the way to the park once .,,correct,Past-tense annotation appears to rely on weak or absent obligatory past context.
train,9913,m:0ed,past_no_clear_anchor,high,The teacher listen to the student tell a story .,"During yesterday's lesson, the teacher listen to the student tell a story .",The teacher listen [:: listened] [* m:0ed] to the student tell a story .,"During yesterday's lesson, the teacher listen [:: listened] [* m:0ed] to the student tell a story .",,Past-tense annotation appears to rely on weak or absent obligatory past context.
train,9914,m:0ed,past_no_clear_anchor,high,My brother watch the cartoon for a long time today .,My brother watch the cartoon for a long time yesterday .,My brother watch [:: watched] [* m:0ed] the cartoon for a long time today .,My brother watch [:: watched] [* m:0ed] the cartoon for a long time yesterday .,,Past-tense annotation appears to rely on weak or absent obligatory past context.
train,9922,m:0ed,past_no_clear_anchor,high,The historian document every detail of the ancient ceremony .,The historian document every detail of the ancient ceremony during his studies ten years ago .,The historian document [:: documented] [* m:0ed] every detail of the ancient ceremony .,The historian document [:: documented] [* m:0ed] every detail of the ancient ceremony during his studies ten years ago .,,Past-tense annotation appears to rely on weak or absent obligatory past context.
train,9924,m:0ed,past_no_clear_anchor,high,The witness describe the suspect in great detail to the police .,The witness describe the suspect in great detail to the police when asked to .,The witness describe [:: described] [* m:0ed] the suspect in great detail to the police .,The witness describe [:: described] [* m:0ed] the suspect in great detail to the police when asked to .,,Past-tense annotation appears to rely on weak or absent obligatory past context.
train,9931,m:0ed,past_no_clear_anchor,high,The architect design the building according to the old blueprints .,The architect design the building according to the old blueprints in 1957 .,The architect design [:: designed] [* m:0ed] the building according to the old blueprints .,The architect design [:: designed] [* m:0ed] the building according to the old blueprints in 1957 .,,Past-tense annotation appears to rely on weak or absent obligatory past context.
train,10235,m:sub:ed,past_no_clear_anchor,high,Once I seen a large dolphin in the ocean .,,Once I seen [:: saw] [* m:sub:ed] a large dolphin in the ocean .,,correct,Past-tense annotation appears to rely on weak or absent obligatory past context.
test_coverage,78,m:+ed;m:03s:a,possible_bad_reconstruction_target,high,he don't liked milk .,,he don't [:: doesn't] [* m:03s:a] liked [:: liked] [* m:+ed] milk .,,correct,Target form appears unchanged where bare form is expected.
train,90,m:+ed,possible_bad_reconstruction_target,high,The doctor will examined the patient later today .,,The doctor will examined [:: examined] [* m:+ed] the patient later today .,,correct,Target form appears unchanged where bare form is expected.
train,1599,m:+ed,possible_bad_reconstruction_target,high,how about we jumped in the swimming pool ?,,how about we jumped [:: jumped] [* m:+ed] in the swimming pool ?,,correct,Target form appears unchanged where bare form is expected.
train,7728,m:+ed,possible_bad_reconstruction_target,high,The explorer wants to discovered the lost city .,,The explorer wants to discovered [:: discovere] [* m:+ed] the lost city .,The explorer wants to discovered [:: discover] [* m:+ed] the lost city .,,Target form looks truncated.
