row_id,input,original_output,provenance_label,trace_method,trace_ambiguous,error_count,source_files
5020,mad Firstname .,mad Firstname .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/535_A2.cha']
4357,and the doctor said okay .,and the doctor said okay .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/B_original/570_B3.cha']
3664,he said he has a fever .,he said he has a fever .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/B_original/576_B2.cha']
3600,said no .,said no .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/B_original/568_B3.cha']
5590,&+mmm &-like the moose is trying to get the balls in the swimming pool .,&+mmm &-like the moose is trying to get the balls in the swimming pool .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/574_A1.cha']
3971,&-um tree .,&-um tree .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/B_original/444_B2.cha']
4952,and there's water .,and there's water .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/527_A2.cha']
5338,so the horse is so mad .,so the horse is so mad .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/574_A3.cha']
5635,that rabbit going get the balloon .,that rabbit going get the balloon .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/420.cha']
1873,and then it's not allowed to go in the swimming pool with the bandaid .,and then it's not allowed to go in the swimming pool with the bandaid .,DLD,real_input_clean,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/567_A2.cha']
2799,and the rabbit said &-um not sorry .,and the rabbit said &-um not sorry .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/B_original/480_B1.cha']
3308,can you get it for us ?,can you get it for us ?,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/B_original/574_B3.cha']
4064,the kitty and the dog go to eat their lunch .,the kitty and the dog go to eat their lunch .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/B_original/535_B2.cha']
2668,and see the rabbit's hungry .,and see the rabbit's hungry .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/B_original/480_B2.cha']
4808,and then they start .,and then they start .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/572_A2.cha']
4780,and we did find the airplane !,and we did find the airplane !,DLD,real_input_clean,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/535_A3.cha']
4637,and the elephant's doing this !,and the elephant's doing this !,DLD,real_input_clean,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/572_A1.cha']
3613,and he walked .,and he walked .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/B_original/576_B3.cha']
2162,and they saw more balloons .,and they saw more balloons .,DLD,real_input_clean,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/B_original/479_B3.cha']
2371,he just got a tummy:ache .,he just got a tummy:ache .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/B_original/569_B2.cha']
5059,it's going in the store .,it's going in the store .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/568_A0.cha']
5634,that rabbit going take him to the hospital .,that rabbit going take him to the hospital .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/420.cha']
3306,our balloon is way up .,our balloon is way up .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/B_original/574_B3.cha']
3304,and then he was going to take it off .,and then he was going to take it off .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/B_original/574_B3.cha']
4376,and hold that up higher .,and hold that up higher .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/B_original/413_B3.cha']
4093,and then he wrecked it !,and then he wrecked it !,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/B_original/572_B1.cha']
5103,don't know .,don't know .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/531_A0.cha']
1576,see a garden .,see a garden .,DLD,real_input_clean,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/535_A1.cha']
2669,and the dog's not too full .,and the dog's not too full .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/B_original/480_B2.cha']
4062,this is +//.,this is +// .,DLD,real_input_clean,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/B_original/535_B2.cha']
4063,the dog and the kitty go sh:opping .,the dog and the kitty go sh:opping .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/B_original/535_B2.cha']
5530,and the man is mad .,and the man is mad .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/574_A0.cha']
6465,he said hi .,he said hi .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/569_A1.cha']
3868,and then he went .,and then he went .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/B_original/572_B2.cha']
4171,they play in the sandbox .,they play in the sandbox .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/B_original/529_B1.cha']
4451,&-uh got the plane back .,&-uh got the plane back .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/529_A3.cha']
3902,yeah &-uh lots of balloons .,yeah &-uh lots of balloons .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/B_original/444_B3.cha']
4726,he has to ask .,he has to ask .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/572_A0.cha']
6033,he got little arm .,he got little arm .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/480_A1.cha']
4713,he's gonna pick them up .,he's gonna pick them up .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/527_A1.cha']
4540,you get it .,you get it .,DLD,real_input_clean,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/413_A3.cha']
3661,and he's still growling .,and he's still growling .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/B_original/576_B2.cha']
3575,all done .,all done .,DLD,real_output_exact,True,0,"['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/411_A1.cha', '/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/413_A0.cha', '/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/531_A1.cha', '/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/531_A2.cha', '/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/531_A3.cha', '/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/B_original/411_B3.cha', '/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/B_original/413_B2.cha', '/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/B_original/523_B2.cha', '/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/B_original/531_B2.cha', '/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/B_original/531_B3.cha']"
3850,balloon is happy .,balloon is happy .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/B_original/427_B3.cha']
5045,a need up .,a need up.,DLD,real_input_clean,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/531_A1.cha']
3968,I said a carrot that's it .,I said a carrot that's it .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/B_original/444_B2.cha']
3907,one balloon .,one balloon .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/B_original/444_B3.cha']
4123,he's making a san:dcastle .,he's making a san:dcastle .,DLD,real_input_clean,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/B_original/527_B1.cha']
4033,and so the dog is eating .,and so the dog is eating .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/B_original/527_B2.cha']
5060,and the boy's running .,and the boy's running .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/568_A0.cha']
4018,if it's hanging on .,if it's hanging on .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/B_original/572_B3.cha']
4567,and the man the &-um man was mad at the boy .,and the man the &-um man was mad at the boy .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/529_A0.cha']
6410,and he's so happy .,and he's so happy .,DLD,real_input_clean,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/569_A3.cha']
4820,time again .,time again .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/527_A3.cha']
2366,he waved at bunny .,he waved at bunny .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/B_original/569_B2.cha']
4723,this kid went to the store .,this kid went to the store .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/572_A0.cha']
4729,oh it's all so bad .,oh it's all so bad .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/572_A0.cha']
3658,they wanna go to a picnic .,they wanna go to a picnic .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/B_original/576_B2.cha']
4006,they wanna get it to the sand .,they wanna get it to the sand .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/B_original/572_B3.cha']
5490,and the elephant wants to go there .,and the elephant wants to go there .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/574_A2.cha']
2555,and he gets the balloon .,and he gets the balloon .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/B_original/569_B3.cha']
5154,&-uh tea with mom .,&-uh tea with mom .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/531_A2.cha']
2272,they fix it up .,they fix it up .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/B_original/569_B1.cha']
4377,and up higher .,and up higher .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/B_original/413_B3.cha']
6564,that boy was happy .,that boy was happy .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/569_A0.cha']
6031,and see the giraffe is sorry to take the elephant .,and see the giraffe is sorry to take the elephant .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/480_A1.cha']
4810,the guy was behind him .,the guy was behind him .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/572_A2.cha']
5593,and he fell .,and he fell .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/574_A1.cha']
2025,he pushed them in .,he pushed them in .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/B_original/479_B2.cha']
5012,and I turn the page .,and I turn the page .,DLD,real_input_clean,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/535_A2.cha']
3859,what does it say ?,what does it say ?,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/B_original/527_B3.cha']
6467,then that rock is falling !,then that rock is falling !,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/569_A1.cha']
4962,"+, sky .","+, sky .",DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/572_A3.cha']
5626,the giraffe play with a plane .,the giraffe play with a plane .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/420.cha']
5622,elephant hurt his leg .,elephant hurt his leg .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/420.cha']
4505,now he can't reach it .,now he can't reach it .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/570_A3.cha']
4024,and then another one .,and then another one .,DLD,real_input_clean,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/B_original/572_B3.cha']
6120,and see a long time the elephant said sorry !,and see a long time the elephant said sorry !,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/480_A3.cha']
6647,he went in the foods shop .,he went in the foods shop .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/567_A0.cha']
4703,a horse .,a horse .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/527_A1.cha']
6565,and that looks mad .,and that looks mad .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/569_A0.cha']
2372,then she feels all better .,then she feels all better .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/B_original/569_B2.cha']
4122,I see a bu^nny and a sandcastle and a sandbox and a dog .,I see a bu^nny and a sandcastle and a sandbox and a dog .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/B_original/527_B1.cha']
6764,and she was still happy .,and she was still happy .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/479_A3.cha']
3666,they're having food .,they're having food .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/B_original/568_B2.cha']
3670,&-uh he's the doctor .,&-uh he's the doctor .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/B_original/568_B2.cha']
4034,and the bunny rabbit is tired .,and the bunny rabbit is tired .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/B_original/527_B2.cha']
6409,and that airplane works !,and that airplane works !,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/569_A3.cha']
4822,the horse said .,the horse said .,DLD,real_input_clean,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/527_A3.cha']
5639,look at his pants .,look at his pants .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/420.cha']
4699,zebra and elephant .,zebra and elephant .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/444_A1.cha']
3610,some more balloons .,some more balloons .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/B_original/576_B3.cha']
2645,and see ?,and see ?,DLD,real_output_exact,False,0,"['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/480_A1.cha', '/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/480_A3.cha', '/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/B_original/480_B2.cha', '/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/B_original/480_B3.cha']"
1577,see a see a water .,see a see a water .,DLD,real_input_clean,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/535_A1.cha']
5089,the elephant is playing basball .,the elephant is playing bas(ket)ball .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/568_A1.cha']
4538,and dad .,and dad .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/413_A3.cha']
6650,he touched the cookie: .,he touched the cookie: .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/567_A0.cha']
3249,yeah that's a sad one .,yeah that's a sad one .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/B_original/574_B1.cha']
4008,and then the other balloon fell in the sky .,and then the other balloon fell in the sky .,DLD,real_input_clean,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/B_original/572_B3.cha']
5620,the giraffe gotta get out_of that pool .,the giraffe gotta get out_of that pool .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/420.cha']
5629,and that rabbit making a sandcastle too .,and that rabbit making a sandcastle too .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/420.cha']
4956,is that her mother ?,is that her mother ?,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/527_A2.cha']
6146,he got a bandaid .,he got a bandaid .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/480_A2.cha']
4030,it's the rabbit and a dog .,it's the rabbit and a dog .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/B_original/527_B2.cha']
4725,he can't steal .,he can't steal .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/572_A0.cha']
4028,the guy can't see .,the guy can't see .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/B_original/572_B3.cha']
3305,and then the bunny said can we have another balloon ?,and then the bunny said can we have another balloon ?,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/B_original/574_B3.cha']
4811,and he starts running .,and he starts running .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/572_A2.cha']
6149,well this is +...,well this is + ...,DLD,real_input_clean,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/480_A2.cha']
2649,and the dog will catch it mhm .,and the dog will catch it mhm .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/B_original/480_B3.cha']
3854,he can sit down and sit with the balloon and the wagon .,he can sit down and sit with the balloon and the wagon .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/B_original/527_B3.cha']
4009,balloons can fly in the sky when it's windy (be)cause it's not heavy .,balloons can fly in the sky when it's windy (be)cause it's not heavy .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/B_original/572_B3.cha']
1959,pop wowie puppy be (s)nowing .,pop wowie puppy be (s)nowing .,DLD,real_input_clean,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/B_original/531_B1.cha']
6214,&-uh and he'll say youch !,&-uh and he'll say youch !,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/569_A2.cha']
4092,it's lots of sand !,it's lots of sand !,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/B_original/572_B1.cha']
3898,fly away balloon .,fly away balloon .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/B_original/444_B3.cha']
