row_id,input,reannotated_output,notes
6127,and he knew .,,
2666,and see the dog .,,
4127,the rabbit is &-uh all alone .,,
3608,and he saw two balloons .,,
3900,five balloon .,,
6218,and he could help .,,
4010,and then the guy wants to take it off .,,
5233,and the teacher is trying to get it .,,
6651,the cookie box .,,
2164,and he gets him .,,
4955,look at that .,,
5592,and he's happy to go in to get them .,,
3605,what else ?,,
4194,and eat .,,
2226,and it's so beautiful .,,
4942,you have to put it right there .,,
3870,and they went in the house .,,
3687,a buy no balloon .,,
4973,but it's hard to catch fish .,,
4014,it's gone .,,
4124,&~ooh oops .,,
6029,okay Firstname tell me this story please .,,
4966,he must've wanted to fly it .,,
4818,horse can be .,,
3690,&-uh have balloon .,,
3857,he found some more balloons .,,
5235,it's going &-uh down .,,
3667,they're is full .,,
6761,she wants her airplane back .,,
6398,and he will catch it .,,
4021,and the other balloon popped &=laughs .,,
2653,yeah mhm .,,
5526,one day .,,
2271,he didn't do it .,,
4249,ah ah no not there !,,
5104,walk in .,,
4020,and the other guy bought lots of balloons .,,
5631,that rabbit is full .,,
2655,and he said oh dear .,,
5240,she bonked her knee !,,
4963,it couldn't get down .,,
5493,and then it felt better .,,
3972,&+tr tree .,,
4972,and then the guy got alike net !,,
3603,more money .,,
4698,&+ze zebra .,,
5195,he got a toy .,,
4704,the line .,,
3303,and the &-um bunny wanted to take it in his hand .,,
4029,they're bringing baskets .,,
3905,two balloons .,,
3614,&-um &-um I don't know this one .,,
3574,&-uh back home .,,
4131,the kitty and the puppy dropped the castle .,,
2368,and they got a tummyache .,,
1536,and get it .,,
1300,then the dog's having a picnink .,,
4980,did you see this ?,,
6121,and see the giraffe is too mad .,,
2646,and the dog is coming all day .,,
1980,and now he's a little rabbit .,,
4378,and man .,,
3818,look he's falling in .,,
5013,the elephant jumped this .,,
3688,&-uh going .,,
4714,oh dear .,,
3601,one more .,,
3451,and then he was so hungry .,,
3861,look at the bunny and the dog and the wagon .,,
2021,they wanna get a balloon .,,
6763,and thinks so he could .,,
5529,you taking the one out .,,
5636,and it flew up to the sky .,,
1402,is here that dot^ger .,,
5236,&+da well go there .,,
5341,and he can't .,,
2667,the dog's &+se hungry .,,
4032,the rabbit is all finished .,,
3736,a man .,,
2554,he waved at the dog .,,
3903,one two three four six seven eight nine .,,
6403,and it falls in !,,
4804,they wanna swim in there .,,
3752,but he made the castle .,,
4139,and dump it .,,
4015,he can't catch it in the air .,,
1727,one day once upon a day .,,
4814,know what's he running for too .,,
4125,look at the rabbit .,,
4590,&-um the store ?,,
4635,they wanna pick it up .,,
4961,and he got a helicopter .,,
4700,&+ze &-um elephant and zebra and ball .,,
4353,and the sir said yes you can .,,
3663,he said come here .,,
2803,come here .,,
5595,so the elephant is proud .,,
4470,I don't know how .,,
3858,he's going to have a balloon .,,
5337,the elephant wants to make a plane .,,
4541,loved it .,,
6679,and she likes her b:andaid .,,
6608,the elephant wants to get the balloons .,,
4581,&-uh &-um &-uh &-uh a boy and a girl .,,
6782,then it goes in the water .,,
5081,one more ?,,
3452,at the end .,,
4965,the elephant is like this !,,
1970,and br(ing) doctor here and check .,,
2026,then he was so happy to go see her .,,
4555,the giraffe is happy and the elephant too .,,
6400,he looks so angry &=growls !,,
5231,and she got it too !,,
6036,and see him .,,
3849,here balloon .,,
2656,and he said no .,,
2165,and he's so lucky to get a balloon .,,
4812,I don't know what's he running for .,,
4095,he wrecked it !,,
3689,&-uh want balloon .,,
3669,his belly's getting bigger .,,
4731,the kids start running away .,,
4016,oh yeah if that guy was with it then it's windy so hard !,,
4710,they're back back .,,
3665,can I take this ?,,
4096,but it's not nice .,,
4521,what's that ?,,
4421,the giraffe and the elephant .,,
5152,&-uh ow .,,
6124,the big elephant strong .,,
4213,the dog and the bunny they're walking for the picnic .,,
4951,there's a horse and an elephant and the lino .,,
4712,they're going to drop some balls .,,
5102,I don't know it .,,
4087,the other guy was building his sandcastle .,,
4809,the elephant was first .,,
3765,the window .,,
5239,and she bonked her knee .,,
2659,and the doctor got the change .,,
1270,and it broked and broked .,,
1744,it flewed up .,,
2556,then he show at the balloon .,,
1486,and the elephant hurt hisself .,,
1690,and it go away .,,
3821,and she see two balloons .,,
6217,and he tell his mom .,,
1538,and he get it .,,
1857,he pick one cookie .,,
1587,the mommy take it the airplane .,,
1646,and he catch the ball !,,
1569,is throw them down .,,
1257,and he get a stomachache .,,
2370,he just look at it .,,
1642,(..) and he take the box .,,
1564,and he give the thing for the elephant .,,
3856,uhoh it fly away .,,
1613,she say ouch !,,
1563,and then the guy &-um swim .,,
4150,and he dump it in .,,
1393,and he take one balloons sticks .,,
1623,and he give it back to the other guy .,,
1688,mom get it .,,
1890,and then he be mad .,,
1876,the elephant &+pus he push her in .,,
1846,he scoop it up .,,
1806,and the long time he catch it far away .,,
1812,and the strong man get the leg up mhm .,,
3662,and he like to see the doctor .,,
1916,and he's happy he get balloo:n .,,
1828,then he sit on it .,,
5633,this guy hold rabbit's jacket .,,
1940,he get it out .,,
1575,the elephant &+s see a garden .,,
1656,a cookie ball out .,,
4301,a guy go somewhere picnic .,,
1571,the kid get in the store +//.,,
6126,a catcher man know to do it .,,
4832,and his father grab her hand .,,
1621,he catch fish .,,
1845,and he catch an airplane .,,
1578,and &+s the elephant see a ball .,,
1562,ah the guy swim in the water to catch it !,,
2797,and the dog fix it all week .,,
1643,and it fall into the water .,,
2559,and he look at the balloons .,,
1620,oh the net catch everything .,,
5232,and he go &=growls .,,
1314,and he do this .,,
4027,and then he give him some money .,,
1527,and the elephant say yes .,,
1728,it fall down .,,
1290,and it go up !,,
1502,and donkey donkey donkey get real mad .,,
1405,and he sit .,,
1886,then she fall down in a airplane .,,
6680,it help her feel better .,,
1827,and then he still cry .,,
1381,and he go with the doctor .,,
1790,and the elephant the elephant play with soccer ball .,,
1631,and the elephant walk there .,,
1489,and now the girl sit on the bench .,,
1585,the mommy dad get the airplane .,,
1484,the elephant run .,,
1457,I just talk about this .,,
1415,he took it out and it flied up .,,
1433,a sandcastle breaked .,,
1615,he flied it in the air .,,
1877,and she's like she runned .,,
1436,the puppy and kitty builded the castle .,,
1616,it fell in the water it keeped flying in the +/.,,
1471,and the dog and the and the and the bunny runned for the doctor .,,
1417,and he gived them to the kid .,,
1644,and he swi^mmed .,,
1444,and &-um &+an &+an and the dog the dog's bunny's father I mean the dog the no the doctor the dog runned for the doctor and said doctor doctor the rubby tummy's the bunny's tummy's full !,,
1386,and he throwed it into the sandbox .,,
1793,he's &+ha he gived the ball to giraffe .,,
1598,and then a elephant came and squeezed his .,,
1887,and he gots xxx and like a suit .,,
3848,he's want the balloon .,,
1501,&-um a donkey and a elephant .,,
1511,a donkey and a elephant &-uh are show the water .,,
1271,then he gots more balloons .,,
1673,he has a airplane .,,
4634,and then they saw a egg in the water swimming .,,
1291,and last year they have a balloon .,,
1427,the puppy and the kitty goes to work .,,
1612,there's two elephants .,,
1406,&-um and then they was cold .,,
746,they was happy .,,
1261,and they was so pushing in the case .,,
1443,and they drinks juice .,,
1611,and the zebra don't has a owie .,,
1948,and the guy is too &+s messedy up .,,
1428,the puppy and the kitty &+k untied the hands .,,
1597,they saw a water !,,
1274,and then her had none .,,
1358,so he was taking &-um he to the other doctors .,,
1472,her play .,,
1275,maybe her be &+ma mad .,,
1570,he can't go by hisself .,,
1933,they just gather by his hands .,,
1475,and her cry and cry lots .,,
1473,him him take one .,,
1404,this is a bunny and a dog .,,
1675,&-um they wanna go on the swimming pool .,,
1676,and he wants to go on the swimming pool .,,
1541,he lost his ball on the water .,,
4616,and the whole pile fell down !,,
3280,and I was walking down on the same track .,,
3154,and the bunny got a bucket .,,
5256,you're all done .,,
4043,and then the rat said no .,,
5163,and then the cow got very angry with her .,,
2073,and the puppy said the bunny rabbit is sick .,,
6687,that might be a good idea .,,
5405,and the elephant was scared .,,
2973,and then they got the dad .,,
5402,now they're crying .,,
3587,and there was a clown who had balloons .,,
4198,my balloons .,,
3336,but the bunny liked it .,,
6011,but the plane was floating away .,,
4400,and then it fell in the water .,,
4313,they each have their balloon .,,
4755,and he got a net .,,
5193,and she's going to get it .,,
3188,then they came back .,,
3703,and the doggy was too .,,
2827,and then he saw the doctor again .,,
4221,he gave him some money .,,
4239,the dog and the rabbit had a picnic basket .,,
3514,but maybe he can make one .,,
3678,and the bunny is full .,,
6307,and he got very greedy .,,
2050,got another one .,,
4487,and the guard was trying to reach it .,,
4220,and then &-um he got a balloon for him .,,
3210,but it fell down (be)cause the rain was starting to come .,,
3121,only one popped .,,
2326,and now the bunny can't build it up again .,,
6520,they smiled .,,
4614,and picked a cookie from the bottom .,,
2475,he chased them .,,
2605,&-um what is that animal that's in the sandbox ?,,
2852,and then it almost took it .,,
2188,but they just couldn't catch it .,,
5712,then he bumped his nose right on it .,,
2629,turn the page .,,
6365,I got the airplane now .,,
3639,and the man wanted to give him a balloon for the wagon .,,
6361,and then she did it .,,
6676,for time out .,,
6265,her dad was &-um so happy at her friend .,,
3443,and then her grandma came .,,
5132,and he goes .,,
3143,and so he played .,,
6018,then &-um &-um the elephant got it .,,
6282,so they went off and jumped into the water quickly .,,
4556,and a giraffe is there too .,,
3168,and then the rabbit poured it on the sandcastle .,,
2486,but they were all gone .,,
3541,and the doggy wanted it .,,
2471,and he wanted that one .,,
4112,and then they couldn't make it again .,,
5178,it was his airplane .,,
6289,he didn't like that .,,
6090,he jumped in .,,
2773,he untied it !,,
2585,and she tries to help .,,
3921,he met the rabbit coming along .,,
5223,yes you can .,,
6510,try give someone the ball in the water in the spring .,,
2380,and then they had one .,,
5942,and she was running .,,
4387,and the bunny's friend and himself just looked at the balloons .,,
2950,and then the mommy gave him five dollars .,,
5069,he just wanted to get that ball !,,
5657,that was a quick one .,,
4271,then she was trying to pull it .,,
3772,it breaks .,,
3794,they're digging and making a sandbox .,,
2765,and then he had a tummyache .,,
6429,and then he hugged his airplane with joy .,,
6355,and she hadta walk to the dad .,,
2122,and she looks at him .,,
5572,there is a ball and the giraffe .,,
5042,half of them aren't .,,
5549,&-um they're getting bored with the elephant's nose .,,
5294,they wanted to go in the swimming pool .,,
4986,the giraffe tried to took it because the ele .,,
6181,but he was going to sink .,,
5488,and then they both happy and joyed their selves .,,
3057,and then the guy would give them balloons .,,
3625,yeah &=sighs .,,
6693,and then if it feels better you can walk .,,
3885,and then he was twirling in his head .,,
4611,I don't wanna do it .,,
2787,teeth out like this .,,
2150,and then can we have one ?,,
2342,and then he had (s)tomachache .,,
5778,and then he pulled it up .,,
2940,then the dog was angry .,,
2089,and one got really sad .,,
5087,now he did let them fall down .,,
3403,and this one is sillier .,,
2093,and then the doctor gives the man money .,,
6386,but then he makes her sit on the bench (be)cause she ran .,,
2071,and the puppy dog was not very happy .,,
4571,and then the little cookie man was mad .,,
2286,they shoveled and shoveled and made a sandcastle .,,
2183,and he tried to untie it .,,
6505,and so did the elephant .,,
5708,and then he fell right in with his pants and his shirt on .,,
6227,and then the one with the whistle saw it in the pool .,,
5110,more cookie boxes again .,,
6496,always day long .,,
6470,and then went in the shop .,,
6009,and he couldn't go in the water because it's only for two year olds .,,
5659,I think I know it .,,
2720,but they were so hungry .,,
4937,and that was the end of their story .,,
6230,and she scooped it .,,
5701,he was going to the store .,,
2069,and the bunny rabbit was full .,,
6575,the elephant loves the giraffe .,,
5686,and &-um the elephant was okay .,,
5376,then she tried .,,
6755,and then she took it away .,,
6507,bouncin(g) the three balls in the f:all .,,
5457,I don't know this book .,,
6292,and it started to go .,,
6685,and then they wanted to go swim together .,,
6080,and the &-um little elephant wanted to hold it .,,
6360,and then the mom came and got a fishing net .,,
3779,well he was embarrassed .,,
6350,but then she caught it .,,
3105,and then he tried to tie it off .,,
3523,now they're untying it .,,
4874,and then the little elephant grabbed it from him .,,
6568,and then the shopkeeper was very mad .,,
5433,well how you look at the pic^ture (be)cause I don't know .,,
4342,but he didn't .,,
2485,lookin(g) at a balloon .,,
2604,the little bunny was gonna help +//.,,
4445,but he couldn't get it out (be)cause it was too far away .,,
5845,and he didn't see nothing .,,
2895,and then he &+re walked up to the doctor rabbit .,,
5666,and he takes one cookie .,,
3075,and she said yes .,,
2713,they were so happy that they both got their own balloons .,,
3455,and let's write a sign on our balloon .,,
5297,and then her brother came to help her .,,
6414,then nobody couldn't get it out .,,
2596,and then they were best friends again .,,
6318,and they did something wrong .,,
3638,and he just jumped right up there .,,
1973,and the bunny sweated and fell to the ground .,,
6087,and she was gonna get &-um it out .,,
4326,and he said &-um can we ?,,
5133,and then she tries to get it out .,,
2403,and then he said balloons fi:ve cents .,,
5966,and he said thanks .,,
2575,and he tells her that there's balloons .,,
3527,and they did .,,
4317,but they didn't know which way was their home .,,
2520,and he leaves with the doctor .,,
1996,they were going to have a picnic with each other .,,
5190,and she could get it .,,
2933,and now the bunny was going to take it off .,,
6486,that day that balls got stuck .,,
4110,they poured the sand on top of the sandcastle .,,
3533,you're doing me at playtime .,,
4879,then nobody could reach it .,,
6469,there was one boy .,,
3391,about this big .,,
3965,she tells her to not eat too many food .,,
2846,I don't know what the next page is .,,
6207,then he slipped .,,
2346,the rabbit meets the kangaroo one day .,,
3836,they had a nice meal .,,
6485,I'm not going take those balls home to his raygie@c .,,
5803,and the &-um elephant wished that she could fly it too .,,
5747,and it was floating along .,,
2993,and they were very happy with them .,,
3177,a rabbit and a dog were playing in the sand and building a sandcastle .,,
3542,now the balloon popped .,,
3508,not talking .,,
3502,and then there's just a line .,,
3477,the doctor was happy (be)cause he wanted a balloon too .,,
4647,he picked one .,,
2839,and the dog was getting raspberries .,,
2519,and he takes his temperature .,,
4883,she tried to .,,
6222,and she falls and hurts her knee .,,
5954,and then he put her on a timeout .,,
3951,and then little rabbit came with mama .,,
2031,(.) and then he has a stomyache@c .,,
3827,he has a stomachache .,,
2894,and he didn't have any .,,
5515,&-uh he's running .,,
5608,out they sunk .,,
5027,the elephant was gonna run into the pool .,,
5407,then he tried it .,,
4188,then he got so mad .,,
4774,they're sitting .,,
5756,and then she was okay .,,
4485,and giraffe didn't know what he can do (be)cause the giraffe didn't like going in that water .,,
3240,and the rabbit poured it on her castle .,,
3089,and they played with them .,,
3189,and then they made a sand^castle .,,
2466,he &+w asked if we can have (th)em .,,
3271,the dog didn't let him .,,
6017,and he was playing it going up and a twist .,,
4276,and she was happy .,,
2879,so Thumper wasn't all right .,,
5888,and they played with it .,,
5648,he grabs a cookie dough .,,
4741,and he gave the cow a &+nnn new .,,
4641,it had a ball .,,
3220,and then the other one was sad .,,
5051,and there's an apple and some cookie .,,
2228,they're playing in the sand .,,
5148,he didn't wanna wanna fall in the water (be)cause he was wearing clothes .,,
2768,that's all .,,
6204,and then the keeper saw her and then gave her a band .,,
5880,so she got her mom to catch the lifeguard .,,
5842,but it was too far .,,
5918,&=singsong the end .,,
2420,and &-um he was too full .,,
3454,once they saw a sign .,,
4297,and then they took all the food to eat .,,
3799,there once was a doggy and a rabbit .,,
5612,and she is going to throw it into one of the hoops .,,
2394,the dog and the rabbit meet again .,,
2251,a rabbit is pouring the sand onto the sandcastle .,,
6133,that one .,,
4661,he went for a grocery shop .,,
6428,and then a girl elephant came .,,
2414,the rabbit did .,,
4495,and she grabbed it out of the giraffe's hand .,,
6521,the boy he wanted to catch the ball .,,
6735,giraffe was happy .,,
6266,and then her dad was mad at her .,,
3706,then doggy pulled on the doctor bunny .,,
4585,and they played basketball .,,
2848,and then oh so they lost their way to home .,,
3193,then the dog ran away too .,,
4692,he took one from the bottom .,,
4743,the cow was gonna go in the pool .,,
3531,a rabbit .,,
3793,that's the last page .,,
4442,and that's the end !,,
3745,she's had him make a big sand ca^stle for rabbit .,,
2746,and then they saw a clow:n .,,
2154,and then he's happy .,,
3358,let's have a good time !,,
2943,and somebody had balloons .,,
6118,and &-um cookies and milk .,,
2857,and then that &+d &-um rabbit wanted a balloon .,,
4537,then his fr^iend was very happy that he had his plane .,,
5969,until they gotta get that airplane .,,
6185,he wanted some cookies .,,
2549,and &+th they eat .,,
2697,and the kangaroo pulled her towards .,,
4655,I went to a circus .,,
6527,and he's giving them to his dad .,,
5123,and the lifeguard came and said don't do that .,,
3164,but it was too hard .,,
6235,and the elephant is watching .,,
3743,and it was going to gonna break .,,
1739,and then they &+t they always they (s)plash the ball in the water .,,
6683,and then she was feeling a lot better .,,
2444,pullin(g) somewhere .,,
4991,and then the elephant grabbed it without saying please .,,
2543,just only playing .,,
6313,try and get it in the water in the fall .,,
4433,and he said that will fix it up a little .,,
3679,the bunny has a big tummy .,,
3645,and then the end .,,
5722,so then he had to put them all back up again .,,
4138,but they needed to make it all over again .,,
3830,he's holding his hand .,,
6425,and then the keeper tried to help .,,
3770,he helps her .,,
6154,and that is a cow .,,
5881,so the lifeguard couldn't reach it .,,
5779,they were laughing at the pool .,,
2302,and she was making it .,,
2633,&-um me and my brother were playing in the sandbox .,,
6201,and the &+e giraffe is happy now .,,
6471,and then he looked at them .,,
3094,then she lost it .,,
6551,boowie@c spooky .,,
4518,I need a bandaid .,,
5753,and then she slipped (be)cause there was water when she was running .,,
3270,but no way .,,
4061,here we have more balloons on the wagon .,,
5505,and the boy elephant said don't slip again .,,
2229,the bunny was making a castle .,,
3421,it got bitten by a bug .,,
2831,and then it was getting smaller and smaller .,,
4948,the lifeguard tells her to stay right there .,,
2327,the rabbit's digging in sand .,,
5920,and she ran to there .,,
2508,and it towed the balloon .,,
2707,she was so upset that her balloon went up .,,
6236,then the elephant grabs it from the giraffe .,,
4750,then he flew it .,,
5140,two only &+e elephants .,,
4651,but it landed in the water .,,
5582,then I went to my mom and dad's home .,,
4498,the elephant explained it was an accident .,,
4988,but it was too far away .,,
5331,and he's flying it .,,
4263,so they had a nice picnic .,,
5136,and the elephants are happy .,,
5668,and then when he took the cookie bag all the cookies fell .,,
3815,then he gave us one before he flew away .,,
6280,what is this for ?,,
3412,oh this one looked .,,
2036,they went for a picnic .,,
3345,now the other one's full .,,
2692,and he f:elt really wheezy .,,
6426,and he fell in the water .,,
3482,and then all that food made him so dizzy .,,
3172,there was a little &-um doggy who's making a sandcastle .,,
5652,so they got it .,,
6734,and it tried out to do it .,,
6057,and she got a net .,,
3741,the castle .,,
4245,his tummy ached .,,
3064,and the dog had nothing left to eat .,,
6681,first she wanted to go swimming .,,
6089,the giraffe wanted to play with it .,,
2875,he was so full that he can barely eat any more .,,
6099,and I was all wet .,,
5454,no more .,,
5616,and that's the end I think .,,
5837,and then they were playing with it .,,
3728,a balloon on the scooter .,,
6141,and he sawed a man .,,
4680,and then she walked home to find her momma .,,
4106,but it was too late .,,
2244,but he hadta make another one .,,
6495,but he was always day long .,,
2762,he's coming to a picnic .,,
4155,he dumped it on the sandcastle .,,
3238,there was a rabbit .,,
2792,and it was number five .,,
6170,I don't know what this one .,,
5497,he got an owie .,,
5322,and then she dropped it in the water .,,
3909,she tries to untie it .,,
5368,and then she got all better .,,
4369,and he cries .,,
4519,it's still hurting .,,
2088,an:d one got really mad .,,
4305,he untied the balloon .,,
3239,there was a girl .,,
6453,they were very best friends .,,
3528,and he was mean .,,
5525,but he tipped them over when he grabbed this one and went on the bottom .,,
6427,and then the zebra cried .,,
5772,and he threw it up to see if it would glide in the air .,,
4878,and the doctor came back again .,,
2888,the kangaroo had a balloon tied on its wagon .,,
5308,and then the coach comes and gets her .,,
4493,and then giraffe was happy again .,,
4517,and it hurts .,,
2005,and then he started working on fixing him in case he was okay .,,
2638,so we got sad .,,
3642,he just wanted a balloon right now .,,
3506,and that's the end of that one .,,
3990,but then it said five twenty nine dollars .,,
6454,and they were playing with the ball .,,
3102,so then he got money so he could get that &+ot balloon .,,
2231,and to put in some more sand on there .,,
2734,and then they wanted a balloon .,,
2677,and then that's the end of the story .,,
6475,or he might be buying something .,,
4244,he ate all of it .,,
3694,and the rabbit was not happy (be)cause he was angry and (be)cause he was sad .,,
6748,and then it's your fault !,,
6281,could you turn it a little up ?,,
5426,but the ball wasn't in there .,,
5660,and then he .,,
2328,the rabbit's putting sand on the sandcastle .,,
6684,she said no running .,,
2819,he's still in his daycare but he is more older than me .,,
4532,then the eleph^ant accidentally dropped the plane into the water .,,
3795,they're mixing up sand .,,
5270,every time they're gonna get longer and longer .,,
4406,I'm crying .,,
4100,they were building a castle .,,
4455,then the animal was all better .,,
4067,and then they got full .,,
3086,and then so they got two balloons &+ye yellow and blue .,,
3347,now they're walking home .,,
6058,and she was going to get it with the net .,,
4373,you stole it &=laughs .,,
5802,and the giraffe had his favorite toy plane .,,
5674,and he wanted to bring some to his mother and father .,,
4039,then they helped him .,,
3758,&-um he's gonna make a sandcastle .,,
3720,and the other doggy is drinking something .,,
2299,and then he tipped it all over his castle .,,
2631,then that's all .,,
2776,he shouldn't do it .,,
3418,now it letting go fly up in the air .,,
6010,and then &-um one of the elephants &-um came and get the plane .,,
